DATE/HOUR	Patients	Beds	Fractional Occupancy	0700-1500	0900-1700	1000-1800	1500-2300	1800-0200	2000-0400	2300-0700	0800-1200	0700-1500	0700-1500	0900-1700	1500-2300	1500-2300	1500-2300	2300-0700	2300-0700	0800-1200
7/1/2005 0:00	4	48	0.08	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
7/1/2005 1:00	4	48	0.08	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
7/1/2005 2:00	7	43	0.16	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
7/1/2005 3:00	9	43	0.21	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
7/1/2005 4:00	9	43	0.21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7/1/2005 5:00	12	43	0.28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7/1/2005 6:00	13	43	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 7:00	14	43	0.33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 8:00	14	43	0.33	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/1/2005 9:00	17	43	0.4	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/1/2005 10:00	14	43	0.33	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/1/2005 11:00	15	43	0.35	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/1/2005 12:00	19	43	0.44	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 13:00	25	43	0.58	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 14:00	31	43	0.72	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 15:00	33	43	0.77	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 16:00	36	43	0.84	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 17:00	31	48	0.65	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 18:00	34	48	0.71	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 19:00	39	48	0.81	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 20:00	41	48	0.85	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 21:00	40	48	0.83	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 22:00	42	48	0.88	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
7/1/2005 23:00	36	48	0.75	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
7/2/2005 0:00	38	48	0.79	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
7/2/2005 1:00	38	48	0.79	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
7/2/2005 2:00	40	43	0.93	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
7/2/2005 3:00	39	43	0.91	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
7/2/2005 4:00	38	43	0.88	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7/2/2005 5:00	41	43	0.95	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7/2/2005 6:00	43	43	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7/2/2005 7:00	41	43	0.95	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 8:00	41	43	0.95	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/2/2005 9:00	38	43	0.88	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/2/2005 10:00	34	43	0.79	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/2/2005 11:00	35	43	0.81	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/2/2005 12:00	40	43	0.93	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 13:00	42	48	0.88	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 14:00	40	48	0.83	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 15:00	37	48	0.77	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 16:00	37	48	0.77	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 17:00	42	48	0.88	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 18:00	41	48	0.85	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 19:00	43	48	0.9	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 20:00	50	48	1.04	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 21:00	50	48	1.04	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 22:00	49	48	1.02	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
7/2/2005 23:00	39	48	0.81	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
7/3/2005 0:00	35	48	0.73	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
7/3/2005 1:00	36	48	0.75	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
7/3/2005 2:00	26	43	0.6	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
7/3/2005 3:00	25	43	0.58	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
7/3/2005 4:00	21	43	0.49	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7/3/2005 5:00	19	43	0.44	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7/3/2005 6:00	20	43	0.47	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7/3/2005 7:00	18	43	0.42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/3/2005 8:00	15	43	0.35	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/3/2005 9:00	18	43	0.42	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/3/2005 10:00	22	43	0.51	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/3/2005 11:00	20	43	0.47	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7/3/2005 12:00	24	43	0.56	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/3/2005 13:00	30	48	0.63	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/3/2005 14:00	33	48	0.69	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7/3/2005 15:00	36	48	0.75	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7/3/2005 16:00	39	48	0.81	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7/3/2005 17:00	40	48	0.83	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7/3/2005 18:00	43	48	0.9	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
7/3/2005 19:00	43	48	0.9	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
