"Weekly Pertussis Case reports for Michigan"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,MICHIGAN
1916,1,-
1916,2,-
1916,3,-
1916,4,-
1916,5,-
1916,6,-
1916,7,-
1916,8,-
1916,9,-
1916,10,-
1916,11,-
1916,12,-
1916,13,-
1916,14,-
1916,15,-
1916,16,-
1916,17,-
1916,18,-
1916,19,-
1916,20,-
1916,21,-
1916,22,-
1916,23,-
1916,24,-
1916,25,-
1916,26,-
1916,27,-
1916,28,-
1916,29,-
1916,30,-
1916,31,-
1916,32,-
1916,33,-
1916,34,-
1916,35,-
1916,36,-
1916,37,-
1916,38,-
1916,39,-
1916,40,-
1916,41,-
1916,42,-
1916,43,-
1916,44,-
1916,45,-
1916,46,-
1916,47,-
1916,48,-
1916,49,-
1916,50,-
1916,51,-
1916,52,-
1917,1,-
1917,2,-
1917,3,-
1917,4,-
1917,5,-
1917,6,-
1917,7,-
1917,8,-
1917,9,-
1917,10,-
1917,11,-
1917,12,-
1917,13,-
1917,14,-
1917,15,-
1917,16,-
1917,17,-
1917,18,-
1917,19,-
1917,20,-
1917,21,-
1917,22,-
1917,23,-
1917,24,-
1917,25,-
1917,26,-
1917,27,-
1917,28,-
1917,29,-
1917,30,-
1917,31,-
1917,32,-
1917,33,-
1917,34,-
1917,35,-
1917,36,-
1917,37,-
1917,38,-
1917,39,-
1917,40,-
1917,41,-
1917,42,-
1917,43,-
1917,44,-
1917,45,-
1917,46,-
1917,47,-
1917,48,-
1917,49,-
1917,50,-
1917,51,-
1917,52,-
1918,1,-
1918,2,-
1918,3,-
1918,4,-
1918,5,-
1918,6,-
1918,7,-
1918,8,-
1918,9,-
1918,10,-
1918,11,-
1918,12,-
1918,13,-
1918,14,-
1918,15,-
1918,16,-
1918,17,-
1918,18,-
1918,19,-
1918,20,-
1918,21,-
1918,22,-
1918,23,-
1918,24,-
1918,25,-
1918,26,-
1918,27,-
1918,28,-
1918,29,-
1918,30,-
1918,31,-
1918,32,-
1918,33,-
1918,34,-
1918,35,-
1918,36,-
1918,37,-
1918,38,-
1918,39,-
1918,40,-
1918,41,-
1918,42,-
1918,43,-
1918,44,-
1918,45,-
1918,46,-
1918,47,-
1918,48,-
1918,49,-
1918,50,-
1918,51,-
1918,52,-
1919,1,-
1919,2,-
1919,3,-
1919,4,-
1919,5,-
1919,6,-
1919,7,-
1919,8,-
1919,9,-
1919,10,-
1919,11,-
1919,12,-
1919,13,-
1919,14,-
1919,15,-
1919,16,-
1919,17,-
1919,18,-
1919,19,-
1919,20,-
1919,21,-
1919,22,-
1919,23,-
1919,24,-
1919,25,-
1919,26,-
1919,27,-
1919,28,-
1919,29,-
1919,30,-
1919,31,-
1919,32,-
1919,33,-
1919,34,-
1919,35,-
1919,36,-
1919,37,-
1919,38,-
1919,39,-
1919,40,-
1919,41,-
1919,42,-
1919,43,-
1919,44,-
1919,45,-
1919,46,-
1919,47,-
1919,48,-
1919,49,-
1919,50,-
1919,51,-
1919,52,-
1920,1,-
1920,2,-
1920,3,-
1920,4,-
1920,5,-
1920,6,-
1920,7,-
1920,8,-
1920,9,-
1920,10,-
1920,11,-
1920,12,-
1920,13,-
1920,14,-
1920,15,-
1920,16,-
1920,17,-
1920,18,-
1920,19,-
1920,20,-
1920,21,-
1920,22,-
1920,23,-
1920,24,-
1920,25,-
1920,26,-
1920,27,-
1920,28,-
1920,29,-
1920,30,-
1920,31,-
1920,32,-
1920,33,-
1920,34,-
1920,35,-
1920,36,-
1920,37,-
1920,38,-
1920,39,-
1920,40,-
1920,41,-
1920,42,-
1920,43,-
1920,44,-
1920,45,-
1920,46,-
1920,47,-
1920,48,-
1920,49,-
1920,50,-
1920,51,-
1920,52,-
1921,1,-
1921,2,-
1921,3,-
1921,4,-
1921,5,-
1921,6,-
1921,7,-
1921,8,-
1921,9,-
1921,10,-
1921,11,-
1921,12,-
1921,13,-
1921,14,-
1921,15,-
1921,16,-
1921,17,-
1921,18,-
1921,19,-
1921,20,-
1921,21,-
1921,22,-
1921,23,-
1921,24,-
1921,25,-
1921,26,-
1921,27,-
1921,28,-
1921,29,-
1921,30,-
1921,31,-
1921,32,-
1921,33,-
1921,34,-
1921,35,-
1921,36,-
1921,37,-
1921,38,-
1921,39,-
1921,40,-
1921,41,-
1921,42,-
1921,43,-
1921,44,-
1921,45,-
1921,46,-
1921,47,-
1921,48,-
1921,49,-
1921,50,-
1921,51,-
1921,52,-
1922,1,-
1922,2,-
1922,3,-
1922,4,-
1922,5,-
1922,6,-
1922,7,-
1922,8,-
1922,9,-
1922,10,-
1922,11,-
1922,12,-
1922,13,-
1922,14,-
1922,15,-
1922,16,-
1922,17,-
1922,18,-
1922,19,-
1922,20,-
1922,21,-
1922,22,-
1922,23,-
1922,24,-
1922,25,-
1922,26,-
1922,27,-
1922,28,-
1922,29,-
1922,30,-
1922,31,-
1922,32,-
1922,33,-
1922,34,-
1922,35,-
1922,36,-
1922,37,-
1922,38,-
1922,39,-
1922,40,-
1922,41,-
1922,42,-
1922,43,-
1922,44,-
1922,45,-
1922,46,-
1922,47,-
1922,48,-
1922,49,-
1922,50,-
1922,51,-
1922,52,-
1923,1,-
1923,2,-
1923,3,-
1923,4,-
1923,5,-
1923,6,-
1923,7,-
1923,8,-
1923,9,-
1923,10,-
1923,11,-
1923,12,-
1923,13,-
1923,14,-
1923,15,-
1923,16,-
1923,17,-
1923,18,-
1923,19,-
1923,20,-
1923,21,-
1923,22,-
1923,23,-
1923,24,-
1923,25,-
1923,26,-
1923,27,-
1923,28,-
1923,29,-
1923,30,-
1923,31,-
1923,32,-
1923,33,-
1923,34,-
1923,35,-
1923,36,-
1923,37,-
1923,38,-
1923,39,-
1923,40,-
1923,41,-
1923,42,-
1923,43,-
1923,44,-
1923,45,-
1923,46,-
1923,47,-
1923,48,-
1923,49,-
1923,50,-
1923,51,-
1923,52,-
1924,1,-
1924,2,-
1924,3,-
1924,4,-
1924,5,-
1924,6,-
1924,7,-
1924,8,-
1924,9,-
1924,10,-
1924,11,-
1924,12,-
1924,13,-
1924,14,-
1924,15,-
1924,16,-
1924,17,-
1924,18,-
1924,19,-
1924,20,-
1924,21,-
1924,22,-
1924,23,-
1924,24,-
1924,25,-
1924,26,-
1924,27,-
1924,28,-
1924,29,-
1924,30,-
1924,31,-
1924,32,-
1924,33,-
1924,34,-
1924,35,-
1924,36,-
1924,37,-
1924,38,-
1924,39,-
1924,40,-
1924,41,-
1924,42,-
1924,43,-
1924,44,-
1924,45,-
1924,46,-
1924,47,-
1924,48,-
1924,49,-
1924,50,-
1924,51,-
1924,52,-
1925,1,-
1925,2,-
1925,3,-
1925,4,-
1925,5,-
1925,6,-
1925,7,-
1925,8,-
1925,9,-
1925,10,-
1925,11,-
1925,12,-
1925,13,-
1925,14,-
1925,15,-
1925,16,-
1925,17,-
1925,18,-
1925,19,-
1925,20,-
1925,21,-
1925,22,-
1925,23,-
1925,24,-
1925,25,-
1925,26,-
1925,27,-
1925,28,-
1925,29,-
1925,30,-
1925,31,-
1925,32,-
1925,33,-
1925,34,-
1925,35,-
1925,36,-
1925,37,-
1925,38,-
1925,39,-
1925,40,-
1925,41,-
1925,42,-
1925,43,-
1925,44,-
1925,45,-
1925,46,-
1925,47,-
1925,48,-
1925,49,-
1925,50,-
1925,51,-
1925,52,-
1926,1,-
1926,2,-
1926,3,-
1926,4,-
1926,5,-
1926,6,-
1926,7,-
1926,8,-
1926,9,-
1926,10,-
1926,11,-
1926,12,-
1926,13,-
1926,14,-
1926,15,-
1926,16,-
1926,17,-
1926,18,-
1926,19,-
1926,20,-
1926,21,-
1926,22,-
1926,23,-
1926,24,-
1926,25,-
1926,26,-
1926,27,-
1926,28,-
1926,29,-
1926,30,-
1926,31,-
1926,32,-
1926,33,-
1926,34,-
1926,35,-
1926,36,-
1926,37,-
1926,38,-
1926,39,-
1926,40,-
1926,41,-
1926,42,-
1926,43,-
1926,44,-
1926,45,-
1926,46,-
1926,47,-
1926,48,-
1926,49,-
1926,50,-
1926,51,-
1926,52,-
1927,1,-
1927,2,-
1927,3,-
1927,4,-
1927,5,-
1927,6,-
1927,7,-
1927,8,-
1927,9,-
1927,10,-
1927,11,-
1927,12,-
1927,13,-
1927,14,-
1927,15,-
1927,16,-
1927,17,-
1927,18,-
1927,19,-
1927,20,-
1927,21,-
1927,22,-
1927,23,-
1927,24,-
1927,25,-
1927,26,-
1927,27,-
1927,28,-
1927,29,-
1927,30,-
1927,31,-
1927,32,-
1927,33,-
1927,34,-
1927,35,-
1927,36,-
1927,37,-
1927,38,-
1927,39,-
1927,40,-
1927,41,-
1927,42,-
1927,43,-
1927,44,-
1927,45,-
1927,46,-
1927,47,-
1927,48,-
1927,49,-
1927,50,-
1927,51,-
1927,52,-
1928,1,-
1928,2,-
1928,3,-
1928,4,-
1928,5,-
1928,6,-
1928,7,-
1928,8,-
1928,9,-
1928,10,-
1928,11,-
1928,12,-
1928,13,-
1928,14,-
1928,15,-
1928,16,-
1928,17,-
1928,18,-
1928,19,-
1928,20,-
1928,21,-
1928,22,-
1928,23,-
1928,24,-
1928,25,-
1928,26,-
1928,27,-
1928,28,-
1928,29,-
1928,30,-
1928,31,-
1928,32,-
1928,33,-
1928,34,-
1928,35,-
1928,36,-
1928,37,-
1928,38,-
1928,39,-
1928,40,-
1928,41,-
1928,42,-
1928,43,-
1928,44,-
1928,45,-
1928,46,-
1928,47,-
1928,48,-
1928,49,-
1928,50,-
1928,51,-
1928,52,-
1929,1,-
1929,2,-
1929,3,-
1929,4,-
1929,5,-
1929,6,-
1929,7,-
1929,8,-
1929,9,-
1929,10,-
1929,11,-
1929,12,-
1929,13,-
1929,14,-
1929,15,-
1929,16,-
1929,17,-
1929,18,-
1929,19,-
1929,20,-
1929,21,-
1929,22,-
1929,23,-
1929,24,-
1929,25,-
1929,26,-
1929,27,-
1929,28,-
1929,29,-
1929,30,-
1929,31,-
1929,32,-
1929,33,-
1929,34,-
1929,35,-
1929,36,-
1929,37,-
1929,38,-
1929,39,-
1929,40,-
1929,41,-
1929,42,-
1929,43,-
1929,44,-
1929,45,-
1929,46,-
1929,47,-
1929,48,-
1929,49,-
1929,50,-
1929,51,-
1929,52,-
1930,1,-
1930,2,-
1930,3,-
1930,4,-
1930,5,-
1930,6,-
1930,7,-
1930,8,-
1930,9,-
1930,10,-
1930,11,-
1930,12,-
1930,13,-
1930,14,-
1930,15,-
1930,16,-
1930,17,-
1930,18,-
1930,19,-
1930,20,-
1930,21,-
