Date,Rate
4-Jan-00,1.637
5-Jan-00,1.6415
6-Jan-00,1.6475
7-Jan-00,1.6384
10-Jan-00,1.6374
11-Jan-00,1.648
12-Jan-00,1.6465
13-Jan-00,1.6482
14-Jan-00,1.6353
17-Jan-00,ND
18-Jan-00,1.638
19-Jan-00,1.6438
20-Jan-00,1.6538
21-Jan-00,1.6504
24-Jan-00,1.652
25-Jan-00,1.6482
26-Jan-00,1.6395
27-Jan-00,1.6363
28-Jan-00,1.621
31-Jan-00,1.6182
1-Feb-00,1.615
2-Feb-00,1.606
3-Feb-00,1.6025
4-Feb-00,1.5915
7-Feb-00,1.5917
8-Feb-00,1.6105
9-Feb-00,1.6115
10-Feb-00,1.6057
11-Feb-00,1.5923
14-Feb-00,1.589
15-Feb-00,1.595
16-Feb-00,1.604
17-Feb-00,1.605
18-Feb-00,1.5984
21-Feb-00,ND
22-Feb-00,1.6165
23-Feb-00,1.6047
24-Feb-00,1.5981
25-Feb-00,1.5908
28-Feb-00,1.5935
29-Feb-00,1.578
1-Mar-00,1.5849
2-Mar-00,1.5765
3-Mar-00,1.581
6-Mar-00,1.5732
7-Mar-00,1.5772
8-Mar-00,1.5855
9-Mar-00,1.5815
10-Mar-00,1.5793
13-Mar-00,1.5782
14-Mar-00,1.5725
15-Mar-00,1.573
16-Mar-00,1.5747
17-Mar-00,1.5705
20-Mar-00,1.5686
21-Mar-00,1.5725
22-Mar-00,1.5705
23-Mar-00,1.583
24-Mar-00,1.591
27-Mar-00,1.5855
28-Mar-00,1.5872
29-Mar-00,1.587
30-Mar-00,1.5922
31-Mar-00,1.5922
3-Apr-00,1.598
4-Apr-00,1.5965
5-Apr-00,1.59
6-Apr-00,1.58
7-Apr-00,1.583
10-Apr-00,1.5828
11-Apr-00,1.5873
12-Apr-00,1.5882
13-Apr-00,1.5881
14-Apr-00,1.586
17-Apr-00,1.5853
18-Apr-00,1.5764
19-Apr-00,1.5777
20-Apr-00,1.5801
21-Apr-00,1.5785
24-Apr-00,1.58
25-Apr-00,1.5787
26-Apr-00,1.5795
27-Apr-00,1.5748
28-Apr-00,1.556
1-May-00,1.5558
2-May-00,1.559
3-May-00,1.5605
4-May-00,1.5435
5-May-00,1.5288
8-May-00,1.531
9-May-00,1.5315
10-May-00,1.5153
11-May-00,1.4997
12-May-00,1.5172
15-May-00,1.5075
16-May-00,1.5008
17-May-00,1.4905
18-May-00,1.4818
19-May-00,1.4855
22-May-00,1.4907
23-May-00,1.4728
24-May-00,1.4755
25-May-00,1.4705
26-May-00,1.4875
29-May-00,ND
30-May-00,1.495
31-May-00,1.4968
1-Jun-00,1.4915
2-Jun-00,1.5079
5-Jun-00,1.5135
6-Jun-00,1.5235
7-Jun-00,1.5225
8-Jun-00,1.506
9-Jun-00,1.5079
12-Jun-00,1.512
13-Jun-00,1.513
14-Jun-00,1.5023
