# Monthly cholera mortality in Dacca, Bangladesh, 1891-1940
# Collated by Menno Bouma
# King, A. A., Ionides, E. L., Pascual, M. and Bouma, M. J. (2008). Inapparent infections and cholera dynamics. Nature 454:877-880. 
"1",1891,2641
"2",1891.08333333333,939
"3",1891.16666666667,905
"4",1891.25,1219
"5",1891.33333333333,368
"6",1891.41666666667,78
"7",1891.5,29
"8",1891.58333333333,12
"9",1891.66666666667,30
"10",1891.75,44
"11",1891.83333333333,270
"12",1891.91666666667,1149
"13",1892,633
"14",1892.08333333333,501
"15",1892.16666666667,855
"16",1892.25,1271
"17",1892.33333333333,666
"18",1892.41666666667,101
"19",1892.5,62
"20",1892.58333333333,23
"21",1892.66666666667,20
"22",1892.75,28
"23",1892.83333333333,461
"24",1892.91666666667,892
"25",1893,751
"26",1893.08333333333,170
"27",1893.16666666667,253
"28",1893.25,906
"29",1893.33333333333,700
"30",1893.41666666667,98
"31",1893.5,57
"32",1893.58333333333,72
"33",1893.66666666667,471
"34",1893.75,4217
"35",1893.83333333333,5168
"36",1893.91666666667,4747
"37",1894,2380
"38",1894.08333333333,852
"39",1894.16666666667,1166
"40",1894.25,2122
"41",1894.33333333333,576
"42",1894.41666666667,60
"43",1894.5,53
"44",1894.58333333333,62
"45",1894.66666666667,241
"46",1894.75,403
"47",1894.83333333333,551
"48",1894.91666666667,739
"49",1895,862
"50",1895.08333333333,348
"51",1895.16666666667,490
"52",1895.25,5596
"53",1895.33333333333,1180
"54",1895.41666666667,142
"55",1895.5,41
"56",1895.58333333333,28
"57",1895.66666666667,39
"58",1895.75,748
"59",1895.83333333333,3934
"60",1895.91666666667,3562
"61",1896,587
"62",1896.08333333333,311
"63",1896.16666666667,1639
"64",1896.25,1903
"65",1896.33333333333,601
"66",1896.41666666667,110
"67",1896.5,32
"68",1896.58333333333,19
"69",1896.66666666667,82
"70",1896.75,420
"71",1896.83333333333,1014
"72",1896.91666666667,1073
"73",1897,416
"74",1897.08333333333,168
"75",1897.16666666667,909
"76",1897.25,1355
"77",1897.33333333333,447
"78",1897.41666666667,59
"79",1897.5,13
"80",1897.58333333333,21
"81",1897.66666666667,43
"82",1897.75,109
"83",1897.83333333333,338
"84",1897.91666666667,470
"85",1898,489
"86",1898.08333333333,394
"87",1898.16666666667,483
"88",1898.25,842
"89",1898.33333333333,356
"90",1898.41666666667,29
"91",1898.5,17
"92",1898.58333333333,16
"93",1898.66666666667,57
"94",1898.75,110
"95",1898.83333333333,488
"96",1898.91666666667,1727
"97",1899,1253
"98",1899.08333333333,359
"99",1899.16666666667,245
"100",1899.25,549
"101",1899.33333333333,215
"102",1899.41666666667,9
"103",1899.5,7
"104",1899.58333333333,31
"105",1899.66666666667,236
"106",1899.75,279
"107",1899.83333333333,819
"108",1899.91666666667,1728
"109",1900,1942
"110",1900.08333333333,1251
"111",1900.16666666667,3521
"112",1900.25,3412
"113",1900.33333333333,290
"114",1900.41666666667,46
"115",1900.5,35
"116",1900.58333333333,14
"117",1900.66666666667,79
"118",1900.75,852
"119",1900.83333333333,2951
"120",1900.91666666667,2656
"121",1901,607
"122",1901.08333333333,172
"123",1901.16666666667,325
"124",1901.25,2191
"125",1901.33333333333,584
"126",1901.41666666667,58
"127",1901.5,38
"128",1901.58333333333,8
"129",1901.66666666667,22
"130",1901.75,50
"131",1901.83333333333,380
"132",1901.91666666667,2059
"133",1902,938
"134",1902.08333333333,389
"135",1902.16666666667,767
"136",1902.25,1882
"137",1902.33333333333,286
"138",1902.41666666667,94
"139",1902.5,61
"140",1902.58333333333,10
"141",1902.66666666667,106
"142",1902.75,281
"143",1902.83333333333,357
"144",1902.91666666667,1388
"145",1903,810
"146",1903.08333333333,306
"147",1903.16666666667,381
"148",1903.25,1308
"149",1903.33333333333,702
"150",1903.41666666667,87
"151",1903.5,9
"152",1903.58333333333,14
"153",1903.66666666667,36
"154",1903.75,46
"155",1903.83333333333,553
"156",1903.91666666667,1302
"157",1904,618
"158",1904.08333333333,147
"159",1904.16666666667,414
"160",1904.25,768
"161",1904.33333333333,373
"162",1904.41666666667,39
"163",1904.5,10
"164",1904.58333333333,36
"165",1904.66666666667,151
"166",1904.75,1130
"167",1904.83333333333,3437
"168",1904.91666666667,4041
"169",1905,1415
"170",1905.08333333333,207
"171",1905.16666666667,92
"172",1905.25,128
"173",1905.33333333333,147
"174",1905.41666666667,32
"175",1905.5,7
"176",1905.58333333333,59
"177",1905.66666666667,426
"178",1905.75,2644
"179",1905.83333333333,2891
"180",1905.91666666667,4249
"181",1906,2291
"182",1906.08333333333,797
"183",1906.16666666667,680
"184",1906.25,1036
"185",1906.33333333333,404
"186",1906.41666666667,41
"187",1906.5,19
"188",1906.58333333333,12
"189",1906.66666666667,10
"190",1906.75,121
"191",1906.83333333333,931
"192",1906.91666666667,2158
"193",1907,1886
"194",1907.08333333333,803
"195",1907.16666666667,397
