Period,Value
Jan-1992,"146,913"
Feb-1992,"147,270"
Mar-1992,"146,831"
Apr-1992,"148,082"
May-1992,"149,015"
Jun-1992,"149,821"
Jul-1992,"150,809"
Aug-1992,"151,064"
Sep-1992,"152,595"
Oct-1992,"153,577"
Nov-1992,"153,605"
Dec-1992,"155,504"
Jan-1993,"157,525"
Feb-1993,"156,292"
Mar-1993,"154,774"
Apr-1993,"158,996"
May-1993,"160,624"
Jun-1993,"160,171"
Jul-1993,"162,832"
Aug-1993,"162,491"
Sep-1993,"163,285"
Oct-1993,"164,711"
Nov-1993,"166,593"
Dec-1993,"168,101"
Jan-1994,"167,504"
Feb-1994,"169,652"
Mar-1994,"172,775"
Apr-1994,"173,099"
May-1994,"172,340"
Jun-1994,"174,307"
Jul-1994,"174,801"
Aug-1994,"177,289"
Sep-1994,"178,776"
Oct-1994,"180,569"
Nov-1994,"180,695"
Dec-1994,"181,492"
Jan-1995,"182,423"
Feb-1995,"179,472"
Mar-1995,"180,996"
Apr-1995,"181,702"
May-1995,"183,543"
Jun-1995,"186,088"
Jul-1995,"185,470"
Aug-1995,"186,814"
Sep-1995,"187,338"
Oct-1995,"186,546"
Nov-1995,"189,052"
Dec-1995,"190,809"
Jan-1996,"189,167"
Feb-1996,"192,269"
Mar-1996,"193,993"
Apr-1996,"194,712"
May-1996,"196,210"
Jun-1996,"196,127"
Jul-1996,"196,229"
Aug-1996,"196,215"
Sep-1996,"198,843"
Oct-1996,"200,488"
Nov-1996,"200,200"
Dec-1996,"201,191"
Jan-1997,"202,414"
Feb-1997,"204,273"
Mar-1997,"204,965"
Apr-1997,"203,372"
May-1997,"201,676"
Jun-1997,"204,666"
Jul-1997,"207,049"
Aug-1997,"207,643"
Sep-1997,"208,298"
Oct-1997,"208,064"
Nov-1997,"208,982"
Dec-1997,"209,379"
Jan-1998,"209,684"
Feb-1998,"209,532"
Mar-1998,"210,792"
Apr-1998,"213,623"
May-1998,"214,619"
Jun-1998,"216,324"
Jul-1998,"214,853"
Aug-1998,"213,669"
Sep-1998,"215,712"
Oct-1998,"219,465"
Nov-1998,"221,150"
Dec-1998,"223,226"
Jan-1999,"224,020"
Feb-1999,"226,240"
Mar-1999,"227,407"
Apr-1999,"228,978"
May-1999,"231,238"
Jun-1999,"231,926"
Jul-1999,"233,933"
