Period,Value
Jan-92,"130,683"
Feb-92,"131,244"
Mar-92,"142,488"
Apr-92,"147,175"
May-92,"152,420"
Jun-92,"151,849"
Jul-92,"152,586"
Aug-92,"152,476"
Sep-92,"148,158"
Oct-92,"155,987"
Nov-92,"154,824"
Dec-92,"191,347"
Jan-93,"137,020"
Feb-93,"134,462"
Mar-93,"153,025"
Apr-93,"158,615"
May-93,"163,519"
Jun-93,"162,964"
Jul-93,"164,590"
Aug-93,"163,989"
Sep-93,"159,298"
Oct-93,"163,992"
Nov-93,"169,980"
Dec-93,"206,174"
Jan-94,"145,276"
Feb-94,"146,332"
Mar-94,"173,562"
Apr-94,"170,795"
May-94,"175,527"
Jun-94,"178,509"
Jul-94,"173,198"
Aug-94,"182,445"
Sep-94,"175,128"
Oct-94,"178,642"
Nov-94,"184,272"
Dec-94,"221,549"
Jan-95,"158,004"
Feb-95,"155,156"
Mar-95,"181,910"
Apr-95,"176,635"
May-95,"190,269"
Jun-95,"191,609"
Jul-95,"182,909"
Aug-95,"193,370"
Sep-95,"182,521"
Oct-95,"184,276"
Nov-95,"193,405"
Dec-95,"227,552"
Jan-96,"167,372"
Feb-96,"173,941"
Mar-96,"191,851"
Apr-96,"191,886"
May-96,"205,797"
Jun-96,"196,842"
Jul-96,"197,140"
Aug-96,"204,270"
Sep-96,"189,424"
Oct-96,"201,927"
Nov-96,"203,621"
Dec-96,"237,478"
Jan-97,"181,073"
Feb-97,"178,428"
Mar-97,"203,750"
Apr-97,"199,219"
May-97,"211,516"
Jun-97,"205,491"
Jul-97,"208,856"
Aug-97,"211,952"
Sep-97,"201,415"
Oct-97,"210,145"
Nov-97,"207,533"
Dec-97,"249,389"
Jan-98,"187,445"
Feb-98,"183,767"
Mar-98,"207,973"
Apr-98,"212,262"
May-98,"221,155"
Jun-98,"220,867"
Jul-98,"217,687"
Aug-98,"216,605"
Sep-98,"208,915"
Oct-98,"220,499"
Nov-98,"218,969"
Dec-98,"265,618"
Jan-99,"196,810"
Feb-99,"199,451"
Mar-99,"230,230"
Apr-99,"227,109"
