Date,FatalCrash
1/31/1974,111
2/28/1974,112
3/31/1974,107
4/30/1974,117
5/31/1974,144
6/30/1974,197
7/31/1974,189
8/31/1974,178
9/30/1974,200
10/31/1974,195
11/30/1974,201
12/31/1974,125
1/31/1975,120
2/28/1975,97
3/31/1975,112
4/30/1975,93
5/31/1975,149
6/30/1975,169
7/31/1975,195
8/31/1975,203
9/30/1975,190
10/31/1975,162
11/30/1975,161
12/31/1975,160
1/31/1976,118
2/29/1976,102
3/31/1976,134
4/30/1976,150
5/31/1976,163
6/30/1976,169
7/31/1976,196
8/31/1976,227
9/30/1976,189
10/31/1976,171
11/30/1976,174
12/31/1976,162
1/31/1977,126
2/28/1977,87
3/31/1977,122
4/30/1977,143
5/31/1977,184
6/30/1977,179
7/31/1977,223
8/31/1977,194
9/30/1977,164
10/31/1977,189
11/30/1977,181
12/31/1977,158
1/31/1978,98
2/28/1978,104
3/31/1978,128
4/30/1978,177
5/31/1978,178
6/30/1978,203
7/31/1978,206
8/31/1978,229
9/30/1978,214
10/31/1978,199
11/30/1978,183
12/31/1978,157
1/31/1979,102
2/28/1979,103
3/31/1979,129
4/30/1979,152
5/31/1979,146
6/30/1979,155
7/31/1979,190
8/31/1979,171
9/30/1979,174
10/31/1979,187
11/30/1979,171
12/31/1979,169
1/31/1980,117
2/29/1980,131
3/31/1980,109
4/30/1980,116
5/31/1980,153
6/30/1980,170
7/31/1980,142
8/31/1980,183
9/30/1980,192
10/31/1980,152
11/30/1980,133
12/31/1980,176
1/31/1981,99
2/28/1981,100
3/31/1981,108
4/30/1981,116
5/31/1981,116
6/30/1981,155
7/31/1981,159
8/31/1981,171
9/30/1981,149
10/31/1981,155
11/30/1981,113
12/31/1981,148
1/31/1982,98
2/28/1982,79
3/31/1982,93
4/30/1982,91
5/31/1982,114
6/30/1982,121
7/31/1982,154
8/31/1982,153
9/30/1982,128
10/31/1982,144
11/30/1982,131
12/31/1982,111
1/31/1983,113
2/28/1983,94
3/31/1983,83
4/30/1983,91
5/31/1983,91
6/30/1983,127
7/31/1983,121
8/31/1983,117
9/30/1983,131
10/31/1983,153
11/30/1983,115
12/31/1983,95
1/31/1984,93
2/29/1984,84
3/31/1984,104
4/30/1984,94
5/31/1984,125
6/30/1984,143
7/31/1984,175
8/31/1984,174
9/30/1984,135
10/31/1984,153
11/30/1984,134
12/31/1984,142
1/31/1985,108
2/28/1985,91
3/31/1985,77
4/30/1985,133
5/31/1985,137
6/30/1985,167
7/31/1985,146
8/31/1985,136
9/30/1985,131
10/31/1985,135
11/30/1985,161
12/31/1985,147
1/31/1986,86
2/28/1986,77
3/31/1986,103
4/30/1986,127
5/31/1986,131
6/30/1986,175
7/31/1986,186
8/31/1986,176
9/30/1986,131
10/31/1986,144
11/30/1986,159
12/31/1986,137
1/31/1987,91
2/28/1987,104
3/31/1987,99
4/30/1987,106
5/31/1987,138
6/30/1987,165
7/31/1987,151
8/31/1987,176
9/30/1987,149
10/31/1987,164
11/30/1987,161
12/31/1987,128
1/31/1988,129
2/29/1988,107
3/31/1988,103
4/30/1988,104
5/31/1988,145
6/30/1988,152
7/31/1988,175
8/31/1988,158
9/30/1988,178
10/31/1988,159
11/30/1988,127
12/31/1988,167
1/31/1989,138
2/28/1989,102
3/31/1989,94
4/30/1989,96
5/31/1989,123
6/30/1989,156
7/31/1989,156
8/31/1989,177
9/30/1989,155
10/31/1989,146
11/30/1989,123
12/31/1989,164
1/31/1990,99
2/28/1990,84
3/31/1990,122
4/30/1990,94
5/31/1990,135
6/30/1990,151
7/31/1990,165
8/31/1990,170
9/30/1990,141
10/31/1990,147
11/30/1990,130
12/31/1990,125
1/31/1991,103
2/28/1991,79
3/31/1991,115
4/30/1991,106
