Date,Total.Crash,Fatal.Crash,Clear.Crash
1/31/04,41560,81,11961
2/29/04,27186,68,11931
3/31/04,26539,63,8857
4/30/04,23705,81,14562
5/31/04,29097,97,13022
6/30/04,30444,106,19296
7/31/04,27092,117,16621
8/31/04,26983,123,16343
9/30/04,27968,116,22939
10/31/04,35072,81,16577
11/30/04,37271,122,14753
12/31/04,40111,104,13374
1/31/05,35180,73,11935
2/28/05,31291,77,10065
3/31/05,27619,68,13207
4/30/05,23666,77,15689
5/31/05,26166,105,15983
6/30/05,27655,95,18699
7/31/05,25000,130,17289
8/31/05,24148,96,16845
9/30/05,24943,102,17500
10/31/05,30023,112,18421
11/30/05,37850,110,13844
12/31/05,37297,84,9418
1/31/06,27861,79,8585
2/28/06,24968,67,9538
3/31/06,22340,72,11670
4/30/06,21951,82,14095
5/31/06,26527,82,13636
6/30/06,26392,101,18474
7/31/06,23231,82,15930
8/31/06,22724,115,15423
9/30/06,24979,90,11527
10/31/06,32305,128,13897
11/30/06,31978,105,13522
12/31/06,30066,81,10468
1/31/07,31866,69,9900
2/28/07,29272,70,11429
3/31/07,24882,81,12126
4/30/07,22827,67,10483
5/31/07,24286,92,17242
6/30/07,24951,96,19316
7/31/07,22188,104,16202
8/31/07,23240,117,14600
9/30/07,23550,111,17165
10/31/07,30621,88,17157
11/30/07,32608,98,12880
12/31/07,33883,91,9247
1/31/08,31712,72,9314
2/29/08,34435,57,9141
3/31/08,24176,63,11265
4/30/08,18685,66,12504
5/31/08,22222,88,13526
6/30/08,22501,85,12790
7/31/08,20775,101,15077
8/31/08,20004,100,15399
9/30/08,22218,92,14052
10/31/08,28735,84,17299
11/30/08,33908,106,11708
12/31/08,36686,65,7354
1/31/09,35684,71,11607
2/28/09,23440,48,9763
3/31/09,19045,62,11892
4/30/09,19197,52,10222
5/31/09,21723,66,14568
6/30/09,22183,88,14059
7/31/09,20095,91,12990
8/31/09,19871,81,12078
9/30/09,20955,96,14444
10/31/09,28021,91,9855
11/30/09,27677,61,15496
12/31/09,33087,64,8624
1/31/10,24669,64,8679
2/28/10,26698,55,7435
3/31/10,18014,59,12651
4/30/10,17752,63,11855
5/31/10,21576,82,13804
6/30/10,21978,81,13982
7/31/10,20515,101,14654
8/31/10,20064,98,14685
9/30/10,22458,84,12824
10/31/10,27326,99,18429
11/30/10,27185,79,14399
12/31/10,33840,72,11478
1/31/11,29240,68,7595
2/28/11,25755,51,10979
3/31/11,21149,66,10777
4/30/11,18273,55,7880
5/31/11,20753,67,10765
6/30/11,22651,68,15633
7/31/11,20757,80,16047
8/31/11,19658,105,14414
9/30/11,22610,79,11480
10/31/11,26685,100,15536
11/30/11,29729,70,15256
12/31/11,26789,80,10371
1/31/12,27951,54,10091
2/29/12,22753,67,9690
3/31/12,19212,81,11371
4/30/12,17856,62,12194
5/31/12,21691,75,15792
6/30/12,21847,100,17195
7/31/12,20335,95,15712
8/31/12,19869,90,14700
9/30/12,20724,86,14689
10/31/12,27207,87,12811
11/30/12,26571,68,15494
12/31/12,27875,71,9678
1/31/13,27420,73,10054
2/28/13,25779,59,7599
3/31/13,20714,55,10257
4/30/13,19245,52,9722
5/31/13,22206,80,15383
6/30/13,21745,75,14529
7/31/13,20875,110,14088
8/31/13,20353,101,15213
9/30/13,21850,104,16258
10/31/13,27165,92,14954
11/30/13,30460,91,13214
12/31/13,31249,59,9332
1/31/14,38199,47,12170
2/28/14,27420,63,12068
3/31/14,24216,47,14086
4/30/14,17894,75,10721
5/31/14,21278,76,13716
6/30/14,22054,92,14750
7/31/14,19891,96,14345
8/31/14,20424,85,14011
9/30/14,22016,88,15412
10/31/14,27821,70,14214
11/30/14,34134,68,11549
12/31/14,23352,69,11144
