DATE,VALUE
2005-01-01,198.400
2005-02-01,199.500
2005-03-01,200.700
2005-04-01,200.900
2005-05-01,200.800
2005-06-01,200.600
2005-07-01,200.800
2005-08-01,201.000
2005-09-01,201.300
2005-10-01,202.300
2005-11-01,202.300
2005-12-01,202.100
2006-01-01,202.600
2006-02-01,203.600
2006-03-01,204.900
2006-04-01,205.500
2006-05-01,205.700
2006-06-01,205.900
2006-07-01,206.200
2006-08-01,206.700
2006-09-01,207.200
2006-10-01,207.800
2006-11-01,207.600
2006-12-01,207.300
2007-01-01,208.009
2007-02-01,209.112
2007-03-01,209.923
2007-04-01,210.311
2007-05-01,210.316
2007-06-01,210.474
2007-07-01,210.756
2007-08-01,211.111
2007-09-01,211.628
2007-10-01,212.318
2007-11-01,212.435
2007-12-01,212.356
2008-01-01,213.138
2008-02-01,213.866
2008-03-01,214.866
2008-04-01,215.059
2008-05-01,215.180
2008-06-01,215.553
2008-07-01,216.045
2008-08-01,216.476
2008-09-01,216.862
2008-10-01,217.023
2008-11-01,216.690
2008-12-01,216.100
2009-01-01,216.719
2009-02-01,217.685
2009-03-01,218.639
2009-04-01,219.143
2009-05-01,219.128
2009-06-01,219.283
2009-07-01,219.350
2009-08-01,219.596
2009-09-01,220.137
2009-10-01,220.731
2009-11-01,220.384
2009-12-01,220.025
2010-01-01,220.086
2010-02-01,220.602
2010-03-01,221.059
2010-04-01,221.166
2010-05-01,221.193
2010-06-01,221.265
2010-07-01,221.258
2010-08-01,221.551
2010-09-01,221.907
2010-10-01,222.079
2010-11-01,222.077
2010-12-01,221.795
2011-01-01,222.177
2011-02-01,223.011
2011-03-01,223.690
2011-04-01,224.118
2011-05-01,224.534
2011-06-01,224.891
2011-07-01,225.164
2011-08-01,225.874
2011-09-01,226.289
2011-10-01,226.743
2011-11-01,226.859
2011-12-01,226.740
2012-01-01,227.237
2012-02-01,227.865
2012-03-01,228.735
2012-04-01,229.303
2012-05-01,229.602
2012-06-01,229.879
2012-07-01,229.893
2012-08-01,230.196
2012-09-01,230.780
2012-10-01,231.276
2012-11-01,231.263
2012-12-01,231.033
2013-01-01,231.612
2013-02-01,232.432
2013-03-01,233.052
2013-04-01,233.236
2013-05-01,233.462
2013-06-01,233.640
2013-07-01,233.792
2013-08-01,234.258
2013-09-01,234.782
2013-10-01,235.162
2013-11-01,235.243
2013-12-01,235.000
2014-01-01,235.367
2014-02-01,236.075
2014-03-01,236.913
2014-04-01,237.509
2014-05-01,238.029
2014-06-01,238.157
2014-07-01,238.138
2014-08-01,238.296
2014-09-01,238.841
2014-10-01,239.413
2014-11-01,239.248
2014-12-01,238.775
2015-01-01,239.248
2015-02-01,240.083
2015-03-01,241.067
2015-04-01,241.802
2015-05-01,242.119
2015-06-01,242.354
2015-07-01,242.436
2015-08-01,242.651
2015-09-01,243.359
2015-10-01,243.985
2015-11-01,244.075
2015-12-01,243.779
2016-01-01,244.528
