Date,Open,High,Low,Close,Volume,Adj Close
2016-03-10,985.00,998.50,968.00,968.00,4524300,962.37
2016-03-09,984.00,988.00,978.50,982.00,3098300,976.289
2016-03-08,985.00,991.50,979.50,986.00,4659900,980.265
2016-03-07,1009.00,1012.26,996.50,1006.00,3194600,1000.149
2016-03-04,1023.00,1025.00,1007.00,1017.00,2970500,1011.085
2016-03-03,1015.00,1029.17,1012.00,1019.00,2384400,1013.073
2016-03-02,1018.00,1030.30,1013.00,1020.00,2756500,1014.068
2016-03-01,990.50,1015.00,990.00,1015.00,4805300,1009.097
2016-02-29,970.00,996.00,968.50,996.00,3180900,990.207
2016-02-26,960.00,979.50,958.50,977.50,3275100,971.815
2016-02-25,947.50,957.00,940.00,950.00,3092600,944.475
2016-02-24,953.50,957.10,935.50,940.00,4979100,934.533
2016-02-23,949.50,960.00,942.00,950.50,3409500,944.972
2016-02-22,930.00,952.00,929.474,944.50,2236200,939.007
2016-02-19,934.50,943.50,929.50,937.00,4173600,931.55
2016-02-18,930.50,947.00,921.851,932.00,4007800,926.579
2016-02-17,903.50,932.50,901.50,930.00,5285300,924.591
2016-02-16,900.00,908.50,890.50,898.00,3228900,892.777
2016-02-15,900.00,908.00,891.50,893.00,2427400,887.806
2016-02-12,870.50,888.025,866.50,885.50,5816200,880.35
2016-02-11,858.50,873.00,831.644,860.50,13338600,855.495
2016-02-10,935.00,949.00,879.50,899.00,10494100,893.771
2016-02-09,925.00,952.00,924.50,940.00,6625100,934.533
2016-02-08,981.50,982.00,919.00,920.00,7545900,914.649
2016-02-05,1005.00,1009.15,980.50,983.00,3655000,977.283
2016-02-04,994.00,1012.00,981.00,1001.00,3867600,995.178
2016-02-03,995.50,1023.00,978.50,986.50,5354100,980.762
2016-02-02,1003.00,1005.00,978.00,981.00,3089900,975.294
2016-02-01,1007.00,1013.00,997.00,1011.00,3050500,1005.12
2016-01-29,952.00,993.00,948.831,993.00,5790000,987.225
2016-01-28,989.00,990.50,952.00,953.50,4035400,947.954
2016-01-27,1005.00,1007.00,986.50,995.50,4891700,989.71
2016-01-26,999.00,1020.00,992.50,1015.00,2680000,1009.097
2016-01-25,1007.00,1026.00,1003.00,1010.00,4880700,1004.126
2016-01-22,986.50,1003.00,980.00,995.50,2758600,989.71
2016-01-21,955.00,969.50,947.00,967.50,3438400,961.873
2016-01-20,949.00,955.50,932.388,948.00,4244100,942.486
2016-01-19,970.00,974.50,949.195,964.00,5676300,958.393
2016-01-18,930.00,955.50,930.00,949.00,2435200,943.481
2016-01-15,960.00,971.50,926.50,933.00,5397000,927.574
2016-01-14,970.50,971.00,949.50,961.00,3727400,955.411
2016-01-13,992.50,996.00,977.50,983.00,4041500,977.283
2016-01-12,961.50,986.50,956.00,980.00,4638200,974.30
2016-01-11,943.00,962.50,941.00,953.00,3523000,947.457
2016-01-08,963.50,967.00,943.50,943.50,4711900,938.013
2016-01-07,955.00,972.50,939.00,968.00,4307300,962.37
2016-01-06,982.00,984.00,962.50,974.00,6146500,968.335
2016-01-05,1010.00,1015.40,992.00,1004.00,3213600,998.161
2016-01-04,1015.00,1019.14,996.00,1004.00,4119700,998.161
2015-12-31,1045.00,1051.71,1039.00,1039.00,448200,1032.957
2015-12-30,1046.00,1054.00,1042.00,1046.00,1228400,1039.916
2015-12-29,1047.00,1052.52,1032.00,1050.00,1768700,1043.893
2015-12-28,1038.00,1038.00,1038.00,1038.00,000,1031.963
2015-12-25,1038.00,1038.00,1038.00,1038.00,000,1031.963
2015-12-24,1042.00,1045.00,1033.00,1038.00,205700,1031.963
2015-12-23,1039.00,1052.55,1035.00,1044.00,1855600,1037.928
2015-12-22,1037.00,1041.00,1022.00,1030.00,2006400,1024.009
2015-12-21,1018.00,1041.46,1018.00,1024.00,2151600,1018.044
2015-12-18,1020.00,1030.00,1012.30,1019.00,4754800,1013.073
2015-12-17,1034.00,1051.00,1034.00,1040.00,3734700,1033.951
2015-12-16,1055.00,1055.85,1014.00,1021.00,5267200,1015.062
2015-12-15,1035.00,1054.00,1009.90,1052.00,5591200,1045.881
2015-12-14,1070.00,1073.00,1041.00,1041.00,3930100,1034.945
2015-12-11,1082.00,1088.40,1074.00,1074.00,2534500,1067.754
2015-12-10,1085.00,1100.00,1082.00,1087.00,2587800,1080.678
2015-12-09,1103.00,1111.63,1094.00,1094.00,3539300,1087.637
2015-12-08,1100.00,1106.03,1090.00,1095.00,4080300,1088.631
2015-12-07,1119.00,1126.66,1099.00,1102.00,2845500,1095.591
