 YYYY,  MM,  DD, YYYYMMDD, WODC_Format , DOY ,  Hour ,  Total_Ozone ,  Wavelength  ,  Kind_of_Obs.
 1963,  12,  04, 19631204, 2900377   ,339  ,  5    ,    377       ,     AD       ,  Direct_Sun  
 1963,  12,  05, 19631205, 2733383   ,340  ,  3    ,    383       ,     CC       ,  Zenith_Cloud
 1963,  12,  06, 19631206, 2100365   ,340  , 21    ,    365       ,     AD       ,  Direct_Sun  
 1963,  12,  07, 19631207, 2700364   ,342  ,  3    ,    364       ,     AD       ,  Direct_Sun  
 1963,  12,  08, 19631208, 2700358   ,343  ,  3    ,    358       ,     AD       ,  Direct_Sun  
 1963,  12,  09, 19631209, 2735349   ,344  ,  3    ,    349       ,     CC       ,  Zenith_Cloud
 1963,  12,  10, 19631210, 2133353   ,344  , 21    ,    353       ,     CC       ,  Zenith_Cloud
 1963,  12,  11, 19631211, 2133336   ,345  , 21    ,    336       ,     CC       ,  Zenith_Cloud
 1963,  12,  12, 19631212, 2133318   ,346  , 21    ,    318       ,     CC       ,  Zenith_Cloud
 1963,  12,  13, 19631213, 2436334   ,348  ,  0    ,    334       ,     CC       ,  Zenith_Cloud
 1963,  12,  14, 19631214, 2135332   ,348  , 21    ,    332       ,     CC       ,  Zenith_Cloud
 1963,  12,  15, 19631215, 2435339   ,350  ,  0    ,    339       ,     CC       ,  Zenith_Cloud
 1963,  12,  16, 19631216, 2135341   ,350  , 21    ,    341       ,     CC       ,  Zenith_Cloud
 1963,  12,  17, 19631217, 2436339   ,352  ,  0    ,    339       ,     CC       ,  Zenith_Cloud
 1963,  12,  18, 19631218, 2132347   ,352  , 21    ,    347       ,     CC       ,  Zenith_Blue 
 1963,  12,  19, 19631219, 2100361   ,353  , 21    ,    361       ,     AD       ,  Direct_Sun  
 1963,  12,  20, 19631220, 2436353   ,355  ,  0    ,    353       ,     CC       ,  Zenith_Cloud
 1963,  12,  21, 19631221, 2433333   ,356  ,  0    ,    333       ,     CC       ,  Zenith_Cloud
 1963,  12,  22, 19631222, 2135329   ,356  , 21    ,    329       ,     CC       ,  Zenith_Cloud
 1963,  12,  23, 19631223, 2735344   ,358  ,  3    ,    344       ,     CC       ,  Zenith_Cloud
 1963,  12,  24, 19631224, 2736342   ,359  ,  3    ,    342       ,     CC       ,  Zenith_Cloud
 1963,  12,  25, 19631225, 2336341   ,359  , 23    ,    341       ,     CC       ,  Zenith_Cloud
 1963,  12,  26, 19631226, 2700320   ,361  ,  3    ,    320       ,     AD       ,  Direct_Sun  
 1963,  12,  27, 19631227, 2200336   ,361  , 22    ,    336       ,     AD       ,  Direct_Sun  
 1963,  12,  28, 19631228, 2434343   ,363  ,  0    ,    343       ,     CC       ,  Zenith_Cloud
 1963,  12,  29, 19631229, 2100335   ,363  , 21    ,    335       ,     AD       ,  Direct_Sun  
 1963,  12,  30, 19631230, 2435316   ,365  ,  0    ,    316       ,     CC       ,  Zenith_Cloud
 1963,  12,  31, 19631231, 2400309   ,366  ,  0    ,    309       ,     AD       ,  Direct_Sun  
 1964,  01,  01, 19640101, 2133309   ,  1  , 21    ,    309       ,     CC       ,  Zenith_Cloud
 1964,  01,  02, 19640102, 2736314   ,  3  ,  3    ,    314       ,     CC       ,  Zenith_Cloud
 1964,  01,  03, 19640103, 2136318   ,  3  , 21    ,    318       ,     CC       ,  Zenith_Cloud
 1964,  01,  04, 19640104, 2136315   ,  4  , 21    ,    315       ,     CC       ,  Zenith_Cloud
 1964,  01,  05, 19640105, 2135308   ,  5  , 21    ,    308       ,     CC       ,  Zenith_Cloud
 1964,  01,  06, 19640106, 2435319   ,  7  ,  0    ,    319       ,     CC       ,  Zenith_Cloud
 1964,  01,  07, 19640107, 2135317   ,  7  , 21    ,    317       ,     CC       ,  Zenith_Cloud
 1964,  01,  10, 19640110, 2400291   , 11  ,  0    ,    291       ,     AD       ,  Direct_Sun  
 1964,  01,  11, 19640111, 2400293   , 12  ,  0    ,    293       ,     AD       ,  Direct_Sun  
 1964,  01,  12, 19640112, 2100305   , 12  , 21    ,    305       ,     AD       ,  Direct_Sun  
 1964,  01,  13, 19640113, 2436309   , 14  ,  0    ,    309       ,     CC       ,  Zenith_Cloud
 1964,  01,  14, 19640114, 2132302   , 14  , 21    ,    302       ,     CC       ,  Zenith_Blue 
 1964,  01,  15, 19640115, 2435308   , 16  ,  0    ,    308       ,     CC       ,  Zenith_Cloud
 1964,  01,  16, 19640116, 2435304   , 17  ,  0    ,    304       ,     CC       ,  Zenith_Cloud
 1964,  01,  17, 19640117, 2136312   , 17  , 21    ,    312       ,     CC       ,  Zenith_Cloud
 1964,  01,  18, 19640118, 2435314   , 19  ,  0    ,    314       ,     CC       ,  Zenith_Cloud
 1964,  01,  19, 19640119, 2135314   , 19  , 21    ,    314       ,     CC       ,  Zenith_Cloud
 1964,  01,  20, 19640120, 2035304   , 20  , 20    ,    304       ,     CC       ,  Zenith_Cloud
 1964,  01,  21, 19640121, 2100294   , 21  , 21    ,    294       ,     AD       ,  Direct_Sun  
 1964,  01,  22, 19640122, 2700297   , 23  ,  3    ,    297       ,     AD       ,  Direct_Sun  
 1964,  01,  23, 19640123, 2100310   , 23  , 21    ,    310       ,     AD       ,  Direct_Sun  
 1964,  01,  24, 19640124, 2400299   , 25  ,  0    ,    299       ,     AD       ,  Direct_Sun  
 1964,  01,  25, 19640125, 2100298   , 25  , 21    ,    298       ,     AD       ,  Direct_Sun  
 1964,  01,  26, 19640126, 2136293   , 26  , 21    ,    293       ,     CC       ,  Zenith_Cloud
 1964,  01,  27, 19640127, 2400294   , 28  ,  0    ,    294       ,     AD       ,  Direct_Sun  
 1964,  01,  28, 19640128, 2132280   , 28  , 21    ,    280       ,     CC       ,  Zenith_Blue 
 1964,  01,  29, 19640129, 2732276   , 30  ,  3    ,    276       ,     CC       ,  Zenith_Blue 
 1964,  01,  30, 19640130, 2732275   , 31  ,  3    ,    275       ,     CC       ,  Zenith_Blue 
 1964,  01,  31, 19640131, 2400275   , 32  ,  0    ,    275       ,     AD       ,  Direct_Sun  
 1964,  02,  01, 19640201, 2135268   , 32  , 21    ,    268       ,     CC       ,  Zenith_Cloud
 1964,  02,  02, 19640202, 2533267   , 34  ,  1    ,    267       ,     CC       ,  Zenith_Cloud
 1964,  02,  03, 19640203, 2120272   , 34  , 21    ,    272       ,     CD       ,  Direct_Sun  
 1964,  02,  04, 19640204, 2732258   , 36  ,  3    ,    258       ,     CC       ,  Zenith_Blue 
 1964,  02,  05, 19640205, 2120261   , 36  , 21    ,    261       ,     CD       ,  Direct_Sun  
 1964,  02,  06, 19640206, 2420268   , 38  ,  0    ,    268       ,     CD       ,  Direct_Sun  
 1964,  02,  07, 19640207, 2432256   , 39  ,  0    ,    256       ,     CC       ,  Zenith_Blue 
 1964,  02,  08, 19640208, 2132256   , 39  , 21    ,    256       ,     CC       ,  Zenith_Blue 
 1964,  02,  09, 19640209, 2120267   , 40  , 21    ,    267       ,     CD       ,  Direct_Sun  
 1964,  02,  10, 19640210, 2120268   , 41  , 21    ,    268       ,     CD       ,  Direct_Sun  
 1964,  02,  11, 19640211, 2120269   , 42  , 21    ,    269       ,     CD       ,  Direct_Sun  
 1964,  02,  12, 19640212, 2720263   , 44  ,  3    ,    263       ,     CD       ,  Direct_Sun  
 1964,  02,  13, 19640213, 2433250   , 45  ,  0    ,    250       ,     CC       ,  Zenith_Cloud
 1964,  02,  14, 19640214, 2435249   , 46  ,  0    ,    249       ,     CC       ,  Zenith_Cloud
 1964,  02,  15, 19640215, 2732244   , 47  ,  3    ,    244       ,     CC       ,  Zenith_Blue 
 1964,  02,  16, 19640216, 2760258   , 48  ,  3    ,    258       ,     CDFI     ,  Direct_Sun  
 1964,  02,  20, 19640220, 2260313   , 51  , 22    ,    313       ,     CDFI     ,  Direct_Sun  
 1964,  02,  21, 19640221, 2760309   , 53  ,  3    ,    309       ,     CDFI     ,  Direct_Sun  
