A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/1/2016 0:00,2016,1,1,0,231,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 1:00,2016,1,1,1,239,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 2:00,2016,1,1,2,205,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 3:00,2016,1,1,3,167,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 4:00,2016,1,1,4,132,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 5:00,2016,1,1,5,169,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 6:00,2016,1,1,6,162,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 7:00,2016,1,1,7,123,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 8:00,2016,1,1,8,100,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 9:00,2016,1,1,9,101,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 10:00,2016,1,1,10,111,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 11:00,2016,1,1,11,115,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 12:00,2016,1,1,12,135,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 13:00,2016,1,1,13,165,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 14:00,2016,1,1,14,176,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 15:00,2016,1,1,15,187,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 16:00,2016,1,1,16,207,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 17:00,2016,1,1,17,235,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 18:00,2016,1,1,18,268,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 19:00,2016,1,1,19,302,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 20:00,2016,1,1,20,330,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 21:00,2016,1,1,21,345,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 22:00,2016,1,1,22,375,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2016 23:00,2016,1,1,23,400,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 0:00,2016,1,2,0,362,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 1:00,2016,1,2,1,321,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 2:00,2016,1,2,2,230,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 3:00,2016,1,2,3,225,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 4:00,2016,1,2,4,198,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 5:00,2016,1,2,5,191,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 6:00,2016,1,2,6,199,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 7:00,2016,1,2,7,206,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 8:00,2016,1,2,8,230,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 9:00,2016,1,2,9,279,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 10:00,2016,1,2,10,199,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 11:00,2016,1,2,11,220,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 12:00,2016,1,2,12,222,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 13:00,2016,1,2,13,220,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 14:00,2016,1,2,14,198,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 15:00,2016,1,2,15,208,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 16:00,2016,1,2,16,240,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 17:00,2016,1,2,17,293,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 18:00,2016,1,2,18,368,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 19:00,2016,1,2,19,493,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 20:00,2016,1,2,20,517,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 21:00,2016,1,2,21,501,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 22:00,2016,1,2,22,496,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2016 23:00,2016,1,2,23,559,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 0:00,2016,1,3,0,530,µg/m³,1 Hr,Valid
