"Year","Month","Day","pm2.5"
2013,1,1,15.8333333333333
2013,1,2,18.625
2013,1,3,25.0833333333333
2013,1,4,85.5
2013,1,5,61.1666666666667
2013,1,6,139.958333333333
2013,1,7,146.166666666667
2013,1,8,118.833333333333
2013,1,9,61.9166666666667
2013,1,10,248.291666666667
2013,1,11,361.25
2013,1,12,503.25
2013,1,13,357.291666666667
2013,1,14,299.5
2013,1,15,68.5416666666667
2013,1,16,65.7083333333333
2013,1,17,75.7916666666667
2013,1,18,276.833333333333
2013,1,19,189.416666666667
2013,1,20,107.25
2013,1,21,147.833333333333
2013,1,22,198.875
2013,1,23,378.083333333333
2013,1,24,19.4166666666667
2013,1,25,73.9583333333333
2013,1,26,161.375
2013,1,27,312.958333333333
2013,1,28,406.375
2013,1,29,370.25
2013,1,30,277.916666666667
2013,1,31,173.5
2013,2,1,34.5833333333333
2013,2,2,49.0833333333333
2013,2,3,188.875
2013,2,4,37.5416666666667
2013,2,5,93.4166666666667
2013,2,6,93.75
2013,2,7,12.6666666666667
2013,2,8,60.3333333333333
2013,2,9,188.583333333333
2013,2,10,59.8333333333333
2013,2,11,65.2916666666667
2013,2,12,119.125
2013,2,13,315.041666666667
2013,2,14,25.75
2013,2,15,40.5416666666667
2013,2,16,145.375
2013,2,17,124.041666666667
2013,2,18,22.375
2013,2,19,32.9583333333333
2013,2,20,83.4166666666667
2013,2,21,212.666666666667
2013,2,22,85.0833333333333
2013,2,23,149
2013,2,24,332.875
2013,2,25,159.458333333333
2013,2,26,216.416666666667
2013,2,27,245.708333333333
2013,2,28,221.125
2013,3,1,10.5
2013,3,2,48.8333333333333
2013,3,3,101
2013,3,4,-17.5833333333333
2013,3,5,183.416666666667
2013,3,6,175
2013,3,7,318.458333333333
2013,3,8,222.166666666667
2013,3,9,64.4583333333333
2013,3,10,42.125
2013,3,11,126.583333333333
2013,3,12,147.208333333333
2013,3,13,22.0416666666667
2013,3,14,66.4583333333333
2013,3,15,257.541666666667
2013,3,16,212.541666666667
2013,3,17,351.291666666667
2013,3,18,52.7083333333333
2013,3,19,56.1666666666667
2013,3,20,64.9166666666667
2013,3,21,157.625
2013,3,22,64.5
2013,3,23,55.1666666666667
2013,3,24,23.3333333333333
2013,3,25,67.2916666666667
2013,3,26,196.541666666667
2013,3,27,92.7083333333333
2013,3,28,37.0833333333333
2013,3,29,95.9166666666667
2013,3,30,94.5833333333333
2013,3,31,200.458333333333
2013,4,1,95.6666666666667
2013,4,2,70.2916666666667
2013,4,3,123.458333333333
2013,4,4,83.2916666666667
2013,4,5,61.5
2013,4,6,15.125
2013,4,7,79.9583333333333
2013,4,8,19.2916666666667
2013,4,9,11.4166666666667
2013,4,10,12.4583333333333
2013,4,11,-23.5
2013,4,12,51.7083333333333
2013,4,13,59.25
2013,4,14,30.8333333333333
2013,4,15,23.9583333333333
2013,4,16,-27.0416666666667
2013,4,17,47.125
2013,4,18,11.7916666666667
2013,4,19,54.625
2013,4,20,78.5416666666667
2013,4,21,130.875
2013,4,22,171.583333333333
2013,4,23,206.291666666667
2013,4,24,78.875
2013,4,25,17.25
2013,4,26,72.4166666666667
2013,4,27,72.7083333333333
2013,4,28,71.7083333333333
2013,4,29,30.0416666666667
2013,4,30,21.4166666666667
2013,5,1,45.7083333333333
2013,5,2,82.9166666666667
2013,5,3,64.125
2013,5,4,86.625
2013,5,5,186.291666666667
2013,5,6,214.291666666667
2013,5,7,178.958333333333
2013,5,8,124.291666666667
2013,5,9,49.7083333333333
2013,5,10,48.75
2013,5,11,53.2083333333333
2013,5,12,48.9166666666667
2013,5,13,104.5
2013,5,14,62.8333333333333
2013,5,15,67.5
2013,5,16,68.75
2013,5,17,-306.625
2013,5,18,-230.541666666667
2013,5,19,54.5
2013,5,20,48.625
2013,5,21,101.541666666667
2013,5,22,62.7083333333333
2013,5,23,87.0833333333333
2013,5,24,115.541666666667
2013,5,25,63.8333333333333
2013,5,26,103.458333333333
2013,5,27,76.5416666666667
2013,5,28,38.2916666666667
2013,5,29,20.4166666666667
2013,5,30,59.375
2013,5,31,91.625
2013,6,1,73.1666666666667
2013,6,2,155.708333333333
2013,6,3,131.791666666667
2013,6,4,129.875
2013,6,5,146.958333333333
2013,6,6,153.75
2013,6,7,137.166666666667
2013,6,8,174.791666666667
2013,6,9,56.75
2013,6,10,32.2083333333333
2013,6,11,61.9583333333333
2013,6,12,67.9583333333333
2013,6,13,107.416666666667
2013,6,14,108.166666666667
2013,6,15,125.708333333333
2013,6,16,174.458333333333
2013,6,17,35.8333333333333
2013,6,18,53.7083333333333
2013,6,19,51.5
2013,6,20,1.04166666666667
2013,6,21,77.5833333333333
2013,6,22,59.7916666666667
2013,6,23,68.8333333333333
2013,6,24,108.791666666667
2013,6,25,127.375
2013,6,26,157.75
2013,6,27,92.7083333333333
2013,6,28,294.458333333333
2013,6,29,104.416666666667
2013,6,30,180.416666666667
2013,7,1,143.291666666667
2013,7,2,17.4583333333333
2013,7,3,31.8333333333333
2013,7,4,28.2916666666667
2013,7,5,23.125
2013,7,6,60.9583333333333
2013,7,7,92.375
2013,7,8,91.2916666666667
2013,7,9,83.2916666666667
2013,7,10,36.8333333333333
2013,7,11,41.25
2013,7,12,72.7083333333333
2013,7,13,107.708333333333
2013,7,14,87.5
2013,7,15,62.5
2013,7,16,26.625
2013,7,17,6.25
2013,7,18,134.958333333333
2013,7,19,123.583333333333
2013,7,20,98.625
2013,7,21,70.875
2013,7,22,-174.291666666667
2013,7,23,43.3333333333333
2013,7,24,40
2013,7,25,33.2916666666667
2013,7,26,55.3333333333333
2013,7,27,111.458333333333
2013,7,28,58.375
2013,7,29,69.25
2013,7,30,99.8333333333333
2013,7,31,44.125
2013,8,1,46.5833333333333
2013,8,2,69.125
2013,8,3,34.75
2013,8,4,82.3333333333333
2013,8,5,45.4166666666667
2013,8,6,125.458333333333
2013,8,7,31.375
2013,8,8,32.2916666666667
2013,8,9,37.3333333333333
2013,8,10,88.875
2013,8,11,122.291666666667
2013,8,12,54.25
2013,8,13,78.0416666666667
2013,8,14,62.4583333333333
2013,8,15,106
2013,8,16,106.666666666667
2013,8,17,38.875
2013,8,18,-26.4583333333333
2013,8,19,25.7916666666667
2013,8,20,48.75
2013,8,21,100.958333333333
2013,8,22,-18.7916666666667
2013,8,23,58.3333333333333
2013,8,24,39.375
2013,8,25,43.7916666666667
2013,8,26,54.2083333333333
2013,8,27,53.6666666666667
2013,8,28,76.2083333333333
2013,8,29,32
2013,8,30,-152.5
2013,8,31,24.625
2013,9,1,49.125
2013,9,2,60.3333333333333
2013,9,3,101.708333333333
2013,9,4,78.875
2013,9,5,25.9166666666667
2013,9,6,80.2916666666667
2013,9,7,81.7083333333333
2013,9,8,108.416666666667
2013,9,9,87.5833333333333
2013,9,10,67.1666666666667
2013,9,11,72.2083333333333
2013,9,12,150.791666666667
2013,9,13,15.9583333333333
2013,9,14,69
2013,9,15,24
2013,9,16,60.5
2013,9,17,103.666666666667
2013,9,18,115.541666666667
2013,9,19,123.75
2013,9,20,65.125
2013,9,21,51.4166666666667
2013,9,22,95.6666666666667
2013,9,23,38.8333333333333
2013,9,24,14.6666666666667
2013,9,25,18.125
2013,9,26,15.8333333333333
2013,9,27,193.708333333333
2013,9,28,246.833333333333
2013,9,29,226.625
2013,9,30,147.75
2013,10,1,71.4583333333333
2013,10,2,19.5416666666667
2013,10,3,61.0416666666667
2013,10,4,168.166666666667
2013,10,5,306
2013,10,6,213.416666666667
2013,10,7,91.2916666666667
2013,10,8,-113.583333333333
2013,10,9,146.5
2013,10,10,81.5833333333333
2013,10,11,59.2916666666667
2013,10,12,70.4583333333333
2013,10,13,57.3333333333333
2013,10,14,37.8333333333333
2013,10,15,23.2916666666667
2013,10,16,64.0416666666667
2013,10,17,162.833333333333
2013,10,18,248.166666666667
2013,10,19,68
2013,10,20,29.5833333333333
2013,10,21,100.166666666667
2013,10,22,52.25
2013,10,23,25.75
2013,10,24,23.75
2013,10,25,47.2916666666667
2013,10,26,73.375
2013,10,27,228.541666666667
2013,10,28,314.333333333333
2013,10,29,29.875
2013,10,30,98.7916666666667
2013,10,31,167.375
2013,11,1,217
2013,11,2,286.791666666667
2013,11,3,47.4583333333333
2013,11,4,53.25
2013,11,5,203.458333333333
2013,11,6,113.666666666667
2013,11,7,44.5
2013,11,8,162.708333333333
2013,11,9,96.875
2013,11,10,19.3333333333333
2013,11,11,41.625
2013,11,12,62.5
2013,11,13,198.291666666667
2013,11,14,66.0416666666667
2013,11,15,118.375
2013,11,16,47.3333333333333
2013,11,17,13.8333333333333
2013,11,18,11.7083333333333
2013,11,19,-1.16666666666667
2013,11,20,77.625
2013,11,21,131
2013,11,22,174.166666666667
2013,11,23,170.833333333333
2013,11,24,93.9583333333333
2013,11,25,24.0833333333333
2013,11,26,26.2083333333333
2013,11,27,7.41666666666667
2013,11,28,27.1666666666667
2013,11,29,59.5416666666667
2013,11,30,34.7083333333333
2013,12,1,84.7083333333333
2013,12,2,136.583333333333
2013,12,3,89.75
2013,12,4,112.75
2013,12,5,49.2916666666667
2013,12,6,164.916666666667
2013,12,7,348.5
2013,12,8,214.416666666667
2013,12,9,19.4583333333333
2013,12,10,27.25
2013,12,11,30.7916666666667
2013,12,12,22.7083333333333
2013,12,13,69.5416666666667
2013,12,14,62.9166666666667
2013,12,15,59.375
2013,12,16,183.375
2013,12,17,77.5
2013,12,18,56.2916666666667
2013,12,19,41.25
2013,12,20,-49.7916666666667
2013,12,21,91.2916666666667
2013,12,22,181.208333333333
2013,12,23,145.75
2013,12,24,316.75
2013,12,25,170.125
2013,12,26,14.625
2013,12,27,32.625
2013,12,28,-20.75
2013,12,29,-253.583333333333
2013,12,30,-389.875
2013,12,31,49.3333333333333
2014,1,1,58.4166666666667
2014,1,2,167.625
2014,1,3,54.4583333333333
2014,1,4,154.875
2014,1,5,101.416666666667
2014,1,6,154.583333333333
2014,1,7,112.875
2014,1,8,21.4166666666667
2014,1,9,33.125
2014,1,10,81.2916666666667
2014,1,11,152.625
2014,1,12,-185.541666666667
2014,1,13,127.875
2014,1,14,119.458333333333
2014,1,15,210.375
2014,1,16,448.416666666667
2014,1,17,154.5
2014,1,18,76.75
2014,1,19,124.75
2014,1,20,10.25
2014,1,21,47.2083333333333
2014,1,22,66.125
2014,1,23,288.416666666667
2014,1,24,152.375
2014,1,25,33.7083333333333
2014,1,26,59
2014,1,27,96.1666666666667
2014,1,28,46.5833333333333
2014,1,29,149.291666666667
2014,1,30,71.3333333333333
2014,1,31,166.208333333333
2014,2,1,155.083333333333
2014,2,2,68.9166666666667
2014,2,3,7.125
2014,2,4,29.9583333333333
2014,2,5,103.833333333333
2014,2,6,143.25
2014,2,7,102.875
2014,2,8,56
2014,2,9,13.4583333333333
2014,2,10,26.2083333333333
2014,2,11,131.25
2014,2,12,145.583333333333
2014,2,13,210.958333333333
2014,2,14,299.666666666667
2014,2,15,363.791666666667
2014,2,16,264.833333333333
2014,2,17,75.7916666666667
2014,2,18,25.7083333333333
2014,2,19,79.8333333333333
2014,2,20,218.083333333333
2014,2,21,330.416666666667
2014,2,22,335.541666666667
2014,2,23,242
2014,2,24,352.583333333333
2014,2,25,449.75
2014,2,26,386.416666666667
2014,2,27,20.375
2014,2,28,102.666666666667
2014,3,1,83.125
