"Time","pm2.5","TMAX","TMIN","TD"
2010-01-01,129,-16,-102,86
2010-01-02,144.333333333333,-21,-63,42
2010-01-03,78.375,-44,-99,55
2010-01-04,29.2916666666667,-85,-134,49
2010-01-05,43.5416666666667,-75,-156,81
2010-01-06,59.375,-59,-167,108
2010-01-07,72.4583333333333,-44,-135,91
2010-01-08,174.333333333333,-74,-121,47
2010-01-09,84.75,-28,-134,106
2010-01-10,55.0833333333333,-28,-110,82
2010-01-11,19.9166666666667,-24,-100,76
2010-01-12,20.5,-52,-105,53
2010-01-13,42.7083333333333,-54,-137,83
2010-01-14,92.0833333333333,1,-132,133
2010-01-15,49.8333333333333,-5,-92,87
2010-01-16,182.708333333333,-23,-107,84
2010-01-17,210,3,-95,98
2010-01-18,263.375,32,-91,123
2010-01-19,341,25,0,25
2010-01-20,70.9166666666667,55,-24,79
2010-01-21,27.75,-12,-84,72
2010-01-22,30,-3,-61,58
2010-01-23,21.5625,46,-57,103
2010-01-26,203.538461538462,20,-91,111
2010-01-27,110.708333333333,88,-28,116
2010-01-28,21.125,49,-18,67
2010-01-29,25.625,69,-55,124
2010-01-30,45.2916666666667,83,-24,107
2010-01-31,38.4166666666667,68,-32,100
2010-02-01,64.6666666666667,12,-42,54
2010-02-02,65.9166666666667,8,-86,94
2010-02-03,78.9583333333333,15,-90,105
2010-02-04,56.2083333333333,23,-68,91
2010-02-05,78.5833333333333,-2,-63,61
2010-02-06,76.6666666666667,-16,-68,52
2010-02-07,113.916666666667,-15,-61,46
2010-02-08,180.958333333333,52,-48,100
2010-02-09,147.625,45,-17,62
2010-02-10,12.2083333333333,15,-31,46
2010-02-11,14.5833333333333,-10,-45,35
2010-02-12,26.875,7,-78,85
2010-02-13,88.2083333333333,35,-95,130
2010-02-14,90.0869565217391,-5,-55,50
2010-02-15,34.2083333333333,19,-92,111
2010-02-16,96.125,23,-94,117
2010-02-17,60.75,16,-53,69
2010-02-18,84.2083333333333,51,-85,136
2010-02-19,114.875,107,-68,175
2010-02-20,180.833333333333,96,-39,135
2010-02-21,121.291666666667,143,-33,176
2010-02-22,91.8333333333333,76,-27,103
2010-02-23,174.541666666667,81,-44,125
2010-02-24,272.75,113,2,111
2010-02-25,164.958333333333,73,34,39
2010-02-26,69.2916666666667,46,-2,48
2010-02-27,80.0833333333333,29,-27,56
2010-02-28,81.2083333333333,52,-24,76
2010-03-01,59.25,-2,-43,41
2010-03-02,90.4166666666667,91,-48,139
2010-03-03,157.416666666667,60,-19,79
2010-03-04,192.333333333333,71,3,68
2010-03-05,21.7916666666667,66,-22,88
2010-03-06,51.8333333333333,16,-46,62
2010-03-07,87.8333333333333,5,-50,55
2010-03-08,45.375,-4,-46,42
2010-03-09,19.7083333333333,13,-63,76
2010-03-10,61.875,88,-67,155
2010-03-11,176.291666666667,95,-22,117
2010-03-12,43.625,100,40,60
2010-03-13,60.375,85,-8,93
2010-03-14,86.625,39,-3,42
2010-03-15,62.75,55,-8,63
2010-03-16,64.875,79,-33,112
2010-03-17,40.5833333333333,74,4,70
2010-03-18,164.75,73,-14,87
2010-03-19,226,84,33,51
2010-03-20,161.954545454545,100,49,51
2010-03-21,70.5416666666667,143,24,119
2010-03-22,160.478260869565,138,53,85
2010-03-23,53.875,131,16,115
2010-03-24,61.9166666666667,117,56,61
2010-03-25,31.0416666666667,89,6,83
2010-03-26,69.5,151,10,141
2010-03-27,69.625,121,16,105
2010-03-28,73.9166666666667,163,-9,172
2010-03-29,221.875,116,56,60
2010-03-30,251.666666666667,111,75,36
2010-03-31,113.1,162,62,100
2010-04-01,27.8636363636364,137,58,79
2010-04-02,31.625,120,45,75
2010-04-03,106.875,155,24,131
2010-04-04,124.125,220,64,156
2010-04-05,128.041666666667,170,80,90
2010-04-06,21.2916666666667,164,22,142
2010-04-07,94.75,203,51,152
2010-04-08,108.208333333333,218,93,125
2010-04-09,83.4583333333333,195,89,106
2010-04-10,34.0416666666667,154,70,84
2010-04-11,70.75,107,53,54
2010-04-12,44.5,103,61,42
2010-04-13,23.9583333333333,112,35,77
2010-04-14,55.9166666666667,136,33,103
2010-04-15,177.583333333333,98,40,58
2010-04-16,205,158,44,114
2010-04-17,152.375,121,54,67
2010-04-18,240.25,193,93,100
2010-04-19,199.5,172,129,43
2010-04-20,80.25,192,80,112
2010-04-21,39,155,119,36
2010-04-22,39.5416666666667,122,86,36
2010-04-23,33.5,213,28,185
2010-04-24,88.75,231,88,143
2010-04-25,83.8333333333333,209,98,111
2010-04-26,13.5,121,68,53
2010-04-27,25.125,146,28,118
2010-04-28,16.125,146,62,84
2010-04-29,19.0416666666667,194,51,143
2010-04-30,29.0416666666667,252,83,169
2010-05-01,69.9166666666667,322,104,218
2010-05-02,76.4166666666667,326,177,149
2010-05-03,113.291666666667,269,162,107
2010-05-04,139.25,241,144,97
2010-05-05,119.25,252,160,92
2010-05-06,20.2916666666667,283,149,134
2010-05-07,96.5,286,162,124
2010-05-08,132,259,150,109
2010-05-09,79.5833333333333,222,157,65
2010-05-10,42.375,240,121,119
2010-05-11,17.6666666666667,242,147,95
2010-05-12,43.7916666666667,236,118,118
2010-05-13,67.6666666666667,256,126,130
2010-05-14,142.75,233,151,82
2010-05-15,177.083333333333,280,154,126
2010-05-16,107.625,249,156,93
2010-05-17,69.1363636363636,198,140,58
2010-05-18,50.0833333333333,241,135,106
2010-05-19,34.4166666666667,321,132,189
2010-05-20,65.4166666666667,348,154,194
2010-05-21,113.875,291,199,92
2010-05-22,148,296,180,116
2010-05-23,123.208333333333,350,180,170
2010-05-24,42.4583333333333,298,187,111
2010-05-25,34.3333333333333,319,212,107
2010-05-26,83.7083333333333,310,216,94
2010-05-27,84.7894736842105,256,191,65
2010-05-28,134.416666666667,258,172,86
2010-05-29,137.583333333333,332,170,162
2010-05-30,41.2916666666667,296,192,104
2010-05-31,89.0833333333333,278,177,101
2010-06-01,106.45,268,174,94
2010-06-02,129.625,240,167,73
2010-06-03,110.833333333333,276,163,113
2010-06-04,80.0909090909091,281,169,112
2010-06-07,131.307692307692,308,208,100
2010-06-08,171.666666666667,314,202,112
2010-06-09,47.25,306,210,96
2010-06-10,51.7916666666667,267,200,67
2010-06-11,87.375,246,181,65
2010-06-12,106.5,294,186,108
2010-06-13,117.791666666667,302,216,86
2010-06-14,87.5833333333333,300,186,114
2010-06-15,144.458333333333,336,212,124
2010-06-16,90.9166666666667,311,237,74
2010-06-17,37,246,185,61
2010-06-18,68.2916666666667,263,186,77
2010-06-19,100.125,311,184,127
2010-06-20,74.5909090909091,337,225,112
2010-06-21,76.8333333333333,306,204,102
2010-06-22,128.777777777778,304,236,68
2010-06-23,58.0666666666667,302,196,106
2010-06-24,79.3333333333333,319,194,125
2010-06-25,166.583333333333,316,209,107
2010-06-26,169.333333333333,311,215,96
2010-06-27,118.75,316,222,94
2010-06-28,156.958333333333,310,232,78
2010-06-29,188.208333333333,310,229,81
2010-06-30,178.375,296,244,52
2010-07-01,119.375,276,231,45
2010-07-02,27.0416666666667,367,205,162
2010-07-03,70.8333333333333,378,245,133
2010-07-04,92.875,369,264,105
2010-07-05,46.2916666666667,406,250,156
2010-07-06,24.9583333333333,392,254,138
2010-07-07,57.125,343,245,98
2010-07-08,46.3333333333333,365,242,123
2010-07-09,84.5833333333333,319,222,97
2010-07-10,82.7916666666667,248,214,34
2010-07-11,167.541666666667,265,219,46
2010-07-12,122,260,222,38
2010-07-13,103.458333333333,264,225,39
2010-07-14,131.208333333333,279,241,38
2010-07-15,197.791666666667,265,244,21
2010-07-16,195.958333333333,326,237,89
2010-07-17,120.708333333333,330,249,81
2010-07-18,153.041666666667,342,251,91
2010-07-19,164.333333333333,308,227,81
2010-07-20,42.5,322,216,106
2010-07-21,71.6666666666667,333,231,102
2010-07-22,168.541666666667,345,244,101
2010-07-23,169.166666666667,355,261,94
2010-07-24,97.4583333333333,356,266,90
2010-07-25,164.041666666667,357,265,92
2010-07-26,211.583333333333,349,269,80
2010-07-27,182.666666666667,349,271,78
2010-07-28,177.041666666667,356,267,89
2010-07-29,201.208333333333,358,278,80
2010-07-30,212.375,347,270,77
2010-07-31,119.708333333333,337,292,45
2010-08-01,43.25,318,241,77
2010-08-02,68.3333333333333,332,244,88
2010-08-03,151.333333333333,324,235,89
2010-08-04,113.708333333333,295,232,63
2010-08-05,21,326,240,86
2010-08-06,22,311,217,94
2010-08-07,79.1666666666667,304,222,82
2010-08-08,100.166666666667,307,211,96
2010-08-09,242.958333333333,308,250,58
2010-08-10,141.75,330,255,75
2010-08-11,112.041666666667,282,247,35
2010-08-12,93.0416666666667,321,226,95
2010-08-13,131.842105263158,295,258,37
2010-08-16,75.2222222222222,351,231,120
2010-08-17,147,328,237,91
2010-08-18,229.875,297,252,45
2010-08-19,113.958333333333,278,213,65
2010-08-20,113,312,239,73
2010-08-21,37.1666666666667,265,203,62
2010-08-22,23.625,291,190,101
2010-08-23,85.0833333333333,307,204,103
2010-08-24,127.166666666667,289,217,72
2010-08-25,90.1666666666667,302,184,118
2010-08-26,60.1666666666667,314,206,108
2010-08-27,39.875,303,233,70
2010-08-28,51.3333333333333,316,200,116
2010-08-29,113.583333333333,316,214,102
2010-08-30,110,323,222,101
2010-08-31,88.0833333333333,293,211,82
2010-09-01,69.6666666666667,278,203,75
2010-09-02,103.375,298,216,82
2010-09-03,106.791666666667,266,202,64
2010-09-04,91.7916666666667,286,214,72
2010-09-05,119.5,296,213,83
2010-09-06,158,313,208,105
2010-09-07,129.458333333333,277,237,40
2010-09-08,97.0416666666667,273,184,89
2010-09-09,162.25,266,188,78
2010-09-10,99.7083333333333,311,187,124
2010-09-11,77.375,326,193,133
2010-09-12,124.125,324,198,126
2010-09-13,159.375,324,204,120
2010-09-14,200.458333333333,322,208,114
2010-09-15,301.75,296,221,75
2010-09-16,191.916666666667,274,230,44
2010-09-17,41.25,230,142,88
2010-09-18,23.625,184,135,49
2010-09-19,74.1578947368421,239,156,83
2010-09-20,90.4166666666667,214,174,40
2010-09-21,9,179,131,48
2010-09-27,45,227,116,111
2010-09-30,216.5,245,103,142
2010-10-01,220.875,235,134,101
2010-10-02,28.5416666666667,224,163,61
2010-10-03,9.875,237,157,80
2010-10-04,27.7083333333333,239,92,147
2010-10-05,82.125,264,106,158
2010-10-06,281.291666666667,256,131,125
2010-10-07,373.916666666667,237,138,99
2010-10-08,362.5,243,128,115
2010-10-09,363.25,227,122,105
2010-10-10,371.208333333333,190,142,48
2010-10-11,10.5833333333333,204,131,73
2010-10-12,58.4545454545455,190,77,113
2010-10-13,110.958333333333,225,87,138
2010-10-14,15.125,211,147,64
2010-10-15,43.1666666666667,207,97,110
2010-10-16,72.5833333333333,192,79,113
2010-10-17,48.125,131,79,52
2010-10-18,66.125,92,66,26
2010-10-19,73.375,115,65,50
2010-10-20,82.4166666666667,120,74,46
2010-10-21,128.375,130,102,28
2010-10-22,168.666666666667,143,112,31
2010-10-23,220.125,158,123,35
2010-10-24,91.0416666666667,148,75,73
2010-10-25,10.9583333333333,140,40,100
2010-10-26,14.4166666666667,91,29,62
2010-10-27,92.5,113,-2,115
2010-10-28,71.9166666666667,178,4,174
2010-10-29,52.3333333333333,198,26,172
2010-10-30,52.75,202,34,168
2010-10-31,72,203,37,166
2010-11-01,65.5,158,54,104
2010-11-03,111.1,195,16,179
2010-11-04,66.5,198,40,158
2010-11-05,105.416666666667,203,37,166
2010-11-06,280.583333333333,175,56,119
2010-11-07,50.7083333333333,147,85,62
2010-11-08,13,118,30,88
2010-11-09,64.4583333333333,105,-13,118
2010-11-10,133.333333333333,121,-3,124
2010-11-11,67.2083333333333,121,49,72
2010-11-12,67.4583333333333,127,9,118
2010-11-13,16,99,42,57
2010-11-14,21.7083333333333,78,-14,92
2010-11-15,59.4166666666667,64,-35,99
2010-11-16,143.041666666667,126,-24,150
2010-11-17,330.875,109,-10,119
2010-11-18,385.083333333333,99,12,87
2010-11-19,366.958333333333,138,9,129
2010-11-20,295.708333333333,136,26,110
2010-11-21,119.458333333333,114,32,82
2010-11-22,79.2727272727273,107,-12,119
2010-11-23,232.041666666667,85,-15,100
2010-11-24,61.75,79,-9,88
2010-11-25,71.875,71,-48,119
2010-11-26,112.541666666667,42,-31,73
2010-11-27,27.8333333333333,80,0,80
2010-11-28,187.916666666667,67,-34,101
2010-11-29,181.791666666667,43,-16,59
2010-11-30,225.166666666667,32,-33,65
2010-12-01,258.083333333333,22,11,11
2010-12-02,72.875,81,-1,82
2010-12-03,82.1666666666667,60,-50,110
2010-12-04,172.708333333333,77,-34,111
2010-12-05,65.5,134,-21,155
2010-12-06,19.9583333333333,56,-4,60
2010-12-07,58.3333333333333,68,-45,113
2010-12-08,40.375,85,-7,92
2010-12-09,198.708333333333,59,-16,75
2010-12-10,95.5,87,-10,97
2010-12-11,49.5833333333333,25,-50,75
2010-12-12,116.75,27,-41,68
2010-12-13,15.6666666666667,14,-54,68
2010-12-14,17.125,-24,-88,64
2010-12-15,22.7916666666667,-35,-110,75
2010-12-16,55.6666666666667,20,-83,103
2010-12-17,121.625,68,-68,136
2010-12-18,278.166666666667,64,-49,113
2010-12-19,137.833333333333,118,-33,151
2010-12-20,210.666666666667,120,-39,159
2010-12-21,441.5,74,-21,95
2010-12-22,121.791666666667,75,-28,103
2010-12-23,24.0833333333333,33,-72,105
2010-12-24,47.75,-33,-113,80
2010-12-25,56.75,-21,-84,63
2010-12-26,47.2083333333333,19,-92,111
2010-12-27,77,69,-78,147
2010-12-28,30.5416666666667,25,-39,64
2010-12-29,34.2916666666667,16,-52,68
2010-12-30,17.7083333333333,-39,-77,38
2010-12-31,18.6086956521739,-29,-89,60
2011-01-01,36,1,-69,70
2011-01-02,37.875,-11,-68,57
2011-01-03,169.291666666667,1,-71,72
2011-01-04,82.7916666666667,29,-89,118
2011-01-05,19.625,-3,-71,68
2011-01-06,16.0833333333333,0,-67,67
2011-01-07,50.9166666666667,10,-92,102
2011-01-08,77.0666666666667,0,-58,58
2011-01-10,82.8888888888889,-3,-103,100
2011-01-11,24.5,-4,-69,65
2011-01-12,66.9166666666667,13,-103,116
2011-01-13,121.5,37,-90,127
2011-01-14,16.9166666666667,4,-48,52
2011-01-15,16.875,-27,-105,78
2011-01-16,39.3333333333333,-16,-116,100
2011-01-17,33.9166666666667,-9,-105,96
2011-01-18,20.625,-12,-104,92
2011-01-19,20.5416666666667,8,-98,106
2011-01-20,43.2083333333333,-1,-104,103
2011-01-21,74.4583333333333,18,-102,120
2011-01-22,48.7916666666667,9,-99,108
2011-01-23,14.4166666666667,-8,-78,70
2011-01-24,48.4583333333333,3,-102,105
2011-01-25,31.1666666666667,-3,-85,82
2011-01-26,71.4583333333333,10,-114,124
2011-01-27,27.875,-19,-93,74
2011-01-28,17,0,-83,83
2011-01-29,12.6666666666667,-8,-111,103
2011-01-30,21.2083333333333,38,-103,141
2011-01-31,29.1666666666667,85,-94,179
2011-02-01,37.2083333333333,93,-66,159
2011-02-02,52.9166666666667,68,-66,134
2011-02-03,110.208333333333,69,-29,98
2011-02-04,120.458333333333,79,-53,132
2011-02-05,120.625,26,-64,90
2011-02-06,48.75,110,-44,154
2011-02-07,146.416666666667,47,-17,64
2011-02-08,93.2916666666667,82,-58,140
2011-02-09,124.666666666667,30,-63,93
2011-02-10,68.1666666666667,-5,-47,42
2011-02-11,58.0416666666667,7,-83,90
2011-02-12,29.375,-26,-94,68
2011-02-13,72,-22,-66,44
2011-02-14,36.9166666666667,8,-98,106
2011-02-15,211.916666666667,27,-83,110
2011-02-16,267.166666666667,30,-70,100
2011-02-17,214.5,82,-46,128
2011-02-18,186.458333333333,77,-65,142
2011-02-19,190.25,113,-37,150
2011-02-20,359.416666666667,88,-36,124
2011-02-21,492.75,82,-22,104
2011-02-22,397.291666666667,84,-20,104
2011-02-23,417.458333333333,87,-9,96
2011-02-24,128.333333333333,118,11,107
2011-02-25,70.375,67,-41,108
2011-02-26,79.7083333333333,37,-25,62
2011-02-27,54.375,18,-9,27
2011-02-28,19.0833333333333,59,-27,86
2011-03-01,23.375,75,-17,92
2011-03-02,25.5,72,-38,110
2011-03-03,17.125,98,-7,105
2011-03-04,60.4583333333333,124,-33,157
2011-03-05,96.375,132,23,109
2011-03-06,14.1578947368421,113,58,55
2011-03-07,19.3333333333333,110,22,88
2011-03-08,16.695652173913,111,31,80
2011-03-09,22.75,126,-13,139
2011-03-10,47.9583333333333,166,-5,171
2011-03-11,101.916666666667,138,19,119
2011-03-12,280.375,173,35,138
2011-03-13,159.75,189,50,139
2011-03-14,15.0416666666667,105,50,55
2011-03-15,16.0416666666667,103,11,92
2011-03-16,42.0416666666667,114,-5,119
2011-03-17,113.35,173,-1,174
2011-03-21,20.5555555555556,93,18,75
2011-03-22,17.9583333333333,112,-18,130
2011-03-23,21.2608695652174,126,5,121
2011-03-24,10.375,124,33,91
2011-03-25,22.2083333333333,151,-3,154
2011-03-26,61,151,23,128
2011-03-27,23.6666666666667,188,35,153
2011-03-28,46.75,150,46,104
2011-03-29,80.0833333333333,212,17,195
2011-03-30,103.1,226,48,178
2011-03-31,225.222222222222,219,70,149
2011-04-01,37.695652173913,171,41,130
2011-04-02,62.5416666666667,138,34,104
2011-04-03,131.6,189,18,171
2011-04-04,129.375,205,35,170
2011-04-05,210.75,181,67,114
2011-04-06,133.666666666667,174,108,66
2011-04-08,39.75,196,37,159
2011-04-09,98.7692307692308,258,84,174
2011-04-10,20.3478260869565,225,114,111
2011-04-11,21.4583333333333,210,74,136
2011-04-12,107.833333333333,251,82,169
2011-04-13,166.791666666667,239,103,136
2011-04-14,119.733333333333,303,112,191
2011-04-15,28.4,246,162,84
2011-04-16,91.6666666666667,231,91,140
2011-04-17,60.304347826087,206,156,50
2011-04-18,18.125,208,116,92
2011-04-19,77.5833333333333,219,75,144
2011-04-20,146.208333333333,232,100,132
2011-04-21,125.769230769231,206,109,97
2011-04-22,42.6666666666667,176,70,106
2011-04-23,13.125,186,87,99
2011-04-24,18.2608695652174,216,74,142
2011-04-25,111.833333333333,182,111,71
2011-04-26,75.2916666666667,212,98,114
2011-04-27,43.7083333333333,210,70,140
2011-04-28,85.2857142857143,222,118,104
2011-04-29,167.411764705882,204,130,74
2011-04-30,163.291666666667,210,129,81
2011-05-01,62.75,273,151,122
2011-05-02,23.1666666666667,270,104,166
2011-05-03,22.625,250,145,105
2011-05-04,67.5,210,147,63
2011-05-05,109.291666666667,240,130,110
2011-05-06,50.4166666666667,264,97,167
2011-05-07,33.8695652173913,273,143,130
2011-05-08,60.7916666666667,226,124,102
