                                            Obs     Yr      e0F      e0M       e0
                                              1    1933    62.78    59.17    60.88
                                              2    1934    62.34    58.34    60.23
                                              3    1935    63.04    58.96    60.89
                                              4    1936    62.60    58.35    60.35
                                              5    1937    63.37    59.00    61.05
                                              6    1938    64.54    60.45    62.39
                                              7    1939    65.25    61.12    63.07
                                              8    1940    65.57    61.14    63.23
                                              9    1941    66.27    61.59    63.80
                                             10    1942    67.17    62.26    64.59
                                             11    1943    66.90    61.90    64.30
                                             12    1944    67.76    62.54    65.09
                                             13    1945    68.34    62.96    65.58
                                             14    1946    69.02    63.76    66.28
                                             15    1947    69.45    64.19    66.69
                                             16    1948    70.10    64.69    67.25
                                             17    1949    70.52    65.02    67.63
                                             18    1950    71.02    65.40    68.07
                                             19    1951    71.22    65.41    68.17
                                             20    1952    71.50    65.55    68.39
                                             21    1953    71.92    65.80    68.72
                                             22    1954    72.70    66.57    69.50
                                             23    1955    72.80    66.58    69.56
                                             24    1956    72.95    66.61    69.64
                                             25    1957    72.74    66.36    69.41
                                             26    1958    73.00    66.60    69.67
                                             27    1959    73.31    66.75    69.89
                                             28    1960    73.31    66.63    69.83
                                             29    1961    73.70    67.03    70.24
                                             30    1962    73.59    66.88    70.11
                                             31    1963    73.50    66.63    69.94
                                             32    1964    73.81    66.82    70.19
                                             33    1965    73.93    66.80    70.24
                                             34    1966    73.97    66.69    70.21
                                             35    1967    74.33    66.93    70.52
                                             36    1968    74.09    66.57    70.22
                                             37    1969    74.40    66.77    70.48
                                             38    1970    74.65    67.02    70.74
                                             39    1971    74.96    67.37    71.09
                                             40    1972    75.11    67.43    71.18
                                             41    1973    75.32    67.62    71.40
                                             42    1974    75.86    68.19    71.97
                                             43    1975    76.45    68.72    72.54
                                             44    1976    76.68    69.09    72.85
                                             45    1977    77.08    69.41    73.22
                                             46    1978    77.23    69.63    73.42
                                             47    1979    77.66    70.01    73.83
                                             48    1980    77.48    69.99    73.74
                                             49    1981    77.80    70.41    74.12
                                             50    1982    78.08    70.81    74.47
                                             51    1983    78.09    70.97    74.56
                                             52    1984    78.18    71.13    74.69
                                             53    1985    78.18    71.08    74.67
                                             54    1986    78.27    71.15    74.75
                                             55    1987    78.36    71.32    74.88
                                             56    1988    78.31    71.32    74.86
                                             57    1989    78.57    71.60    75.13
                                             58    1990    78.85    71.85    75.40
                                             59    1991    78.98    72.04    75.55
                                             60    1992    79.19    72.33    75.81
                                             61    1993    78.94    72.18    75.60
                                             62    1994    79.06    72.40    75.77
                                             63    1995    79.09    72.59    75.89
                                             64    1996    79.23    73.08    76.21
                                             65    1997    79.39    73.55    76.54
                                             66    1998    79.45    73.83    76.70
                                             67    1999    79.37    73.94    76.72
                                             68    2000    79.46    74.14    76.86
                                             69    2001    79.54    74.29    76.97
                                             70    2002    79.62    74.38    77.05
                                             71    2003    79.75    74.57    77.21
                                             72    2004    80.12    75.01    77.62
                                             73    2005    80.14    75.02    77.63
                                             74    2006    80.42    75.32    77.92
                                             75    2007    80.66    75.60    78.18
                                             76    2008    80.70    75.75    78.27
                                             77    2009    81.04    76.13    78.64
                                             78    2010    81.22    76.38    78.85
                                             79    2011    81.24    76.46    78.89
                                             80    2012    81.37    76.60    79.02
                                             81    2013    81.39    76.60    79.03




































