## https://weather-warehouse.com/WeatherHistory/PastWeatherData_AnnArborUnivOfMi_AnnArbor_MI_January.html
## accessed by ELI on Nov 2, 2015
##
## Full column descriptions:
## Lowest Temperature (F)
## Highest Temperature (F)
## Warmest Minimum Temperature (F)
## Coldest Maximum Temperature (F)
## Average Minimum Temperature (F)
## Average Maximum Temperature (F)
## Mean Temperature (F)	Total 
## Precipitation (In)
## Total Snowfall (In)
## Max 24hr Precipitation (In)
## Max 24hr Snowfall (In)
Year	Low	High	Hi_min	Lo_max	Avg_min	Avg_max	Mean	Precip	Snow	Hi_Pricip	Hi_Snow
1900	-7	50	36	12	18.0	34.7	26.3	1.06	4.00	0.28	1.10
1901	-7	48	37	20	17.0	31.8	24.4	1.45	10.10	0.40	3.20
1902	-4	41	27	11	15.0	30.4	22.7	0.60	6.00	0.25	2.50
1903	-7	50	36	12	15.1	29.6	22.4	1.27	7.30	0.40	3.20
1904	-11	38	31	6	8.2	22.9	15.3	2.51	11.00	0.67	2.10
1905	-3	47	32	14	10.9	25.9	18.4	1.64	7.90	0.84	2.50
1906	11	62	53	20	25.8	38.8	32.3	1.91	3.60	0.43	2.00
1907	-8	61	38	11	17.2	31.8	24.5	4.68	16.10	1.27	5.00
1908	-8	42	32	15	17.6	28.9	23.2	1.06	4.30	0.63	1.30
1909	-1	61	50	13	20.0	34.7	27.4	2.50	8.70	1.27	7.00
1910	-2	42	29	12	17.5	29.4	23.5	2.48	14.30	0.80	8.00
1911	-1	48	38	12	19.3	32.7	26.0	1.30	3.50	0.56	2.00
1912	-12	38	25	4	4.9	18.0	11.4	1.69	10.80	0.75	5.00
1913	7	52	41	23	21.7	35.7	28.7	3.02	3.80	1.01	1.50
1914	0	57	35	16	20.1	34.6	27.4	2.23	17.00	0.51	4.50
1915	-11	44	31	13	13.9	27.8	20.9	1.09	8.80	0.48	4.80
1916	-3	63	40	9	21.4	37.4	29.4	4.03	4.70	1.09	2.00
1917	-5	44	33	11	14.8	29.6	22.2	0.92	6.50	0.30	3.00
1918	-19	33	17	6	3.8	19.2	11.5	0.91	18.30	0.18	3.50
